negatives
"frozenset({'KitReceptor', 'P05067', 'P52566'})"
"frozenset({'P28331', 'P50416', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UIU6', 'Q13315'})"
"frozenset({'KitReceptor', 'P12110', 'P05556'})"
"frozenset({'KitReceptor', 'O95602', 'Q53T94'})"
"frozenset({'KitReceptor', 'P49336', 'P30304'})"
"frozenset({'KitReceptor', 'Q6ZU80', 'Q8NHV4'})"
"frozenset({'P42771', 'KitReceptor', 'P33992'})"
"frozenset({'P04629', 'KitReceptor', 'Q04637'})"
"frozenset({'Q00839', 'KitReceptor', 'Q9NVN8'})"
"frozenset({'Q96GG9', 'KitReceptor', 'Q562R1'})"
"frozenset({'P62258', 'KitReceptor', 'P40818'})"
"frozenset({'KitReceptor', 'Q15165', 'O95613'})"
"frozenset({'O60258', 'P08138', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P13010', 'O75970'})"
"frozenset({'P07437', 'Q9UL54', 'KitReceptor'})"
"frozenset({'P59991', 'Q15645', 'KitReceptor'})"
"frozenset({'Q6VMQ6', 'KitReceptor', 'P43121'})"
"frozenset({'KitReceptor', 'Q9UMS4', 'Q86T82'})"
"frozenset({'O60763', 'KitReceptor', 'Q9Y2Q3'})"
"frozenset({'KitReceptor', 'O75717', 'Q9P0K8'})"
"frozenset({'Q14240', 'KitReceptor', 'P09923'})"
"frozenset({'Q9HCM2', 'KitReceptor', 'Q13214'})"
"frozenset({'O14976', 'KitReceptor', 'Q3B7T1'})"
"frozenset({'O95453', 'KitReceptor', 'Q7Z2W4'})"
"frozenset({'KitReceptor', 'Q9Y5M8', 'Q13190'})"
"frozenset({'Q96MY7', 'Q9Y3M2', 'KitReceptor'})"
"frozenset({'Q9HAF1', 'Q15717', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q5VSY0', 'Q68CZ1'})"
"frozenset({'KitReceptor', 'O95302', 'P60953'})"
"frozenset({'Q96EQ0', 'KitReceptor', 'P50548'})"
