negatives
"frozenset({'RANKL', 'Q86UE4', 'Q04206'})"
"frozenset({'P42684', 'RANKL', 'Q5S007'})"
"frozenset({'Q14055', 'P17301', 'RANKL'})"
"frozenset({'P62993', 'RANKL', 'P27635'})"
"frozenset({'Q9BQ87', 'RANKL', 'Q9Y618'})"
"frozenset({'RANKL', 'O75364', 'Q5D862'})"
"frozenset({'RANKL', 'P29460', 'P48357'})"
"frozenset({'Q9NQR1', 'Q15022', 'RANKL'})"
"frozenset({'Q8IWV8', 'Q04323', 'RANKL'})"
"frozenset({'P63279', 'RANKL', 'P41225'})"
"frozenset({'Q14031', 'RANKL', 'P26006'})"
"frozenset({'Q9H7B2', 'Q5TB80', 'RANKL'})"
"frozenset({'RANKL', 'Q9UDV6', 'Q9H5I1'})"
"frozenset({'RANKL', 'Q9Y247', 'P24863'})"
"frozenset({'RANKL', 'Q9Y6I7', 'Q9H2X6'})"
"frozenset({'Q06330', 'P39880', 'RANKL'})"
"frozenset({'O95218', 'RANKL', 'Q5VZL5'})"
"frozenset({'O60494', 'Q07954', 'RANKL'})"
"frozenset({'P07954', 'RANKL', 'P56537'})"
"frozenset({'RANKL', 'P62241', 'Q969P0'})"
"frozenset({'RANKL', 'Q9BZV1', 'Q96JC1'})"
"frozenset({'Q6A162', 'RANKL', 'Q9P0T4'})"
"frozenset({'P30305', 'RANKL', 'Q9P2M7'})"
"frozenset({'P43628', 'P30504', 'RANKL'})"
"frozenset({'RANKL', 'P35527', 'P02647'})"
"frozenset({'O14641', 'P07948', 'RANKL'})"
"frozenset({'Q13200', 'RANKL', 'Q9BRP4'})"
"frozenset({'O75461', 'P61244', 'RANKL'})"
"frozenset({'RANKL', 'Q9NU53', 'Q9Y320'})"
"frozenset({'RANKL', 'P50991', 'P06493'})"
"frozenset({'RANKL', 'Q8IWL3', 'Q8WVI0'})"
"frozenset({'P00966', 'P62829', 'RANKL'})"
"frozenset({'RANKL', 'O75031', 'Q6P1J9'})"
"frozenset({'P27695', 'RANKL', 'P24522'})"
"frozenset({'P13646', 'RANKL', 'O95678'})"
"frozenset({'P62277', 'RANKL', 'P23258'})"
"frozenset({'RANKL', 'Q99714', 'Q7L1Q6'})"
"frozenset({'P01242', 'RANKL', 'P42702'})"
"frozenset({'RANKL', 'P50222', 'Q9Y534'})"
"frozenset({'Q13619', 'RANKL', 'P62873'})"
"frozenset({'RANKL', 'Q9BV57', 'P50281'})"
"frozenset({'Q9BVP2', 'RANKL', 'O60832'})"
"frozenset({'Q8WXA8', 'O75915', 'RANKL'})"
"frozenset({'RANKL', 'P14635', 'Q04206'})"
"frozenset({'P13639', 'P52209', 'RANKL'})"
"frozenset({'RANKL', 'P24941', 'Q8NBZ0'})"
"frozenset({'Q8WTP9', 'P42858', 'RANKL'})"
"frozenset({'RANKL', 'P78527', 'P67775'})"
"frozenset({'RANKL', 'Q14966', 'Q86VP6'})"
"frozenset({'Q13573', 'RANKL', 'Q9BRK4'})"
"frozenset({'Q14BN4', 'RANKL', 'Q5T0W9'})"
"frozenset({'RANKL', 'Q12860', 'Q96S94'})"
"frozenset({'P04629', 'RANKL', 'P16152'})"
"frozenset({'Q13573', 'Q9Y618', 'RANKL'})"
"frozenset({'RANKL', 'P63104', 'O43524'})"
"frozenset({'P22681', 'RANKL', 'Q16584'})"
"frozenset({'P08134', 'Q53QZ3', 'RANKL'})"
"frozenset({'Q14141', 'RANKL', 'Q9H3Q1'})"
"frozenset({'P50570', 'RANKL', 'Q15811'})"
"frozenset({'RANKL', 'Q5BKU9', 'P22033'})"
"frozenset({'RANKL', 'Q9H761', 'Q8WVZ9'})"
"frozenset({'P01137', 'RANKL', 'P36896'})"
"frozenset({'O43791', 'Q9HCU9', 'RANKL'})"
"frozenset({'RANKL', 'Q9HBH9', 'Q9BWF3'})"
"frozenset({'Q00839', 'RANKL', 'Q9GZR2'})"
"frozenset({'P51784', 'Q15843', 'RANKL'})"
"frozenset({'Q92731', 'Q9BYR8', 'RANKL'})"
"frozenset({'Q9P1Q5', 'RANKL', 'P32121'})"
"frozenset({'Q6A162', 'RANKL', 'O75934'})"
"frozenset({'Q8NHQ1', 'P04179', 'RANKL'})"
"frozenset({'RANKL', 'Q9Y576', 'P35613'})"
"frozenset({'O00193', 'P26641', 'RANKL'})"
"frozenset({'RANKL', 'Q9H173', 'Q14192'})"
"frozenset({'Q7Z4H3', 'P01189', 'RANKL'})"
"frozenset({'RANKL', 'Q8NI36', 'Q9Y266'})"
"frozenset({'Q9Y2K7', 'RANKL', 'Q01094'})"
"frozenset({'RANKL', 'O00590', 'P13500'})"
"frozenset({'Q96EB6', 'P12956', 'RANKL'})"
"frozenset({'Q99873', 'RANKL', 'Q09472'})"
"frozenset({'Q99661', 'RANKL', 'P40337'})"
"frozenset({'RANKL', 'O15350', 'Q96S59'})"
"frozenset({'P30566', 'Q9NPJ6', 'RANKL'})"
"frozenset({'Q5PRF9', 'O94986', 'RANKL'})"
"frozenset({'Q96PU5', 'RANKL', 'P16234'})"
"frozenset({'RANKL', 'Q9UBY8', 'P21926'})"
"frozenset({'O75496', 'RANKL', 'Q8N490'})"
"frozenset({'RANKL', 'P58170', 'P49407'})"
"frozenset({'Q92769', 'Q8IZL8', 'RANKL'})"
"frozenset({'RANKL', 'Q02543', 'P62244'})"
"frozenset({'RANKL', 'Q16851', 'O00469'})"
"frozenset({'RANKL', 'Q96EI5', 'Q96GD4'})"
"frozenset({'RANKL', 'Q8WUI4', 'P33778'})"
"frozenset({'P25054', 'RANKL', 'P49790'})"
"frozenset({'O00410', 'RANKL', 'Q7L2J0'})"
"frozenset({'P62195', 'Q8WV99', 'RANKL'})"
"frozenset({'RANKL', 'Q14315', 'Q9UNM6'})"
"frozenset({'P84022', 'RANKL', 'P15336'})"
"frozenset({'P63167', 'RANKL', 'Q13627'})"
"frozenset({'P16220', 'RANKL', 'Q9H9S3'})"
"frozenset({'RANKL', 'Q8TCJ0', 'Q9NVI7'})"
"frozenset({'P51668', 'P46736', 'RANKL'})"
"frozenset({'P46779', 'RANKL', 'Q86VP6'})"
"frozenset({'RANKL', 'Q8WWB5', 'Q96HT8'})"
"frozenset({'Q86X19', 'P05556', 'RANKL'})"
"frozenset({'RANKL', 'Q9Y3F4', 'P37173'})"
"frozenset({'P12004', 'P09884', 'RANKL'})"
"frozenset({'P02511', 'Q1KMD3', 'RANKL'})"
"frozenset({'Q9GZQ8', 'RANKL', 'Q99714'})"
"frozenset({'RANKL', 'Q6PCB5', 'Q6VAB6'})"
"frozenset({'Q9NPJ1', 'P49368', 'RANKL'})"
"frozenset({'O94868', 'RANKL', 'Q15811'})"
"frozenset({'RANKL', 'Q96RN5', 'Q14157'})"
"frozenset({'P61244', 'RANKL', 'O75367'})"
"frozenset({'RANKL', 'P41218', 'Q9Y3A4'})"
"frozenset({'Q16821', 'RANKL', 'O96017'})"
"frozenset({'RANKL', 'Q14683', 'Q96AZ1'})"
"frozenset({'RANKL', 'Q96B02', 'O43164'})"
"frozenset({'RANKL', 'Q14683', 'Q9NRD1'})"
"frozenset({'RANKL', 'Q13077', 'Q92844'})"
"frozenset({'RANKL', 'P49407', 'P35372'})"
"frozenset({'P31689', 'RANKL', 'Q9UQL6'})"
"frozenset({'RANKL', 'P98082', 'Q13492'})"
"frozenset({'RANKL', 'Q96IZ0', 'Q96A44'})"
"frozenset({'Q9H4L4', 'P42771', 'RANKL'})"
"frozenset({'Q53FD0', 'Q96ED9', 'RANKL'})"
"frozenset({'P0DMV8', 'P17096', 'RANKL'})"
"frozenset({'Q05655', 'RANKL', 'Q9H3D4'})"
"frozenset({'P13612', 'Q92499', 'RANKL'})"
"frozenset({'Q8IVJ1', 'RANKL', 'P21589'})"
"frozenset({'RANKL', 'P19838', 'Q9UJ70'})"
"frozenset({'P05161', 'O43707', 'RANKL'})"
"frozenset({'Q5T4S7', 'RANKL', 'Q9Y312'})"
"frozenset({'Q9UH99', 'P68104', 'RANKL'})"
"frozenset({'RANKL', 'P48167', 'P12931'})"
"frozenset({'Q93008', 'RANKL', 'Q4VCS5'})"
"frozenset({'RANKL', 'P61254', 'P05412'})"
"frozenset({'RANKL', 'P61006', 'Q9H4M9'})"
"frozenset({'RANKL', 'Q04323', 'Q9H040'})"
"frozenset({'O00410', 'O95793', 'RANKL'})"
"frozenset({'Q92734', 'P52597', 'RANKL'})"
"frozenset({'RANKL', 'Q8IUH5', 'P50995'})"
"frozenset({'Q9BXR0', 'RANKL', 'Q92905'})"
"frozenset({'P32246', 'Q92583', 'RANKL'})"
"frozenset({'O00522', 'RANKL', 'P04626'})"
"frozenset({'O95232', 'RANKL', 'Q13616'})"
"frozenset({'RANKL', 'Q9H5J8', 'Q9BQG0'})"
"frozenset({'Q9UIV1', 'Q8IY67', 'RANKL'})"
"frozenset({'RANKL', 'P10809', 'P10909'})"
"frozenset({'RANKL', 'Q03468', 'Q9BT78'})"
"frozenset({'Q15323', 'RANKL', 'Q9H2F3'})"
"frozenset({'Q9Y519', 'RANKL', 'Q9Y282'})"
"frozenset({'RANKL', 'P78347', 'Q9NRF8'})"
"frozenset({'Q8N6T7', 'RANKL', 'P27361'})"
"frozenset({'RANKL', 'Q96AH0', 'Q9NRY2'})"
"frozenset({'O15481', 'Q13503', 'RANKL'})"
"frozenset({'Q16555', 'RANKL', 'Q92630'})"
"frozenset({'P60033', 'RANKL', 'P21333'})"
"frozenset({'O60260', 'RANKL', 'P17987'})"
"frozenset({'RANKL', 'Q96IK5', 'Q8WWB5'})"
"frozenset({'RANKL', 'Q15717', 'P29474'})"
"frozenset({'Q96GX1', 'O96005', 'RANKL'})"
"frozenset({'Q12905', 'RANKL', 'O14763'})"
"frozenset({'P49711', 'RANKL', 'P62899'})"
"frozenset({'RANKL', 'P24941', 'Q13263'})"
"frozenset({'P79522', 'RANKL', 'Q8NFZ0'})"
"frozenset({'Q8N5S1', 'P17677', 'RANKL'})"
"frozenset({'RANKL', 'Q14164', 'Q9NR30'})"
"frozenset({'Q13315', 'Q9H6U6', 'RANKL'})"
"frozenset({'O60260', 'RANKL', 'P00533'})"
"frozenset({'RANKL', 'Q15831', 'Q9H3D4'})"
"frozenset({'Q15047', 'RANKL', 'A6NKD9'})"
"frozenset({'Q15910', 'RANKL', 'Q14517'})"
"frozenset({'RANKL', 'P50990', 'O75147'})"
"frozenset({'Q92538', 'RANKL', 'Q9Y3I1'})"
"frozenset({'RANKL', 'Q9NUX5', 'P08238'})"
"frozenset({'Q9UHB9', 'P51858', 'RANKL'})"
"frozenset({'RANKL', 'Q96DZ1', 'P14314'})"
"frozenset({'Q8IXK0', 'RANKL', 'Q8NDX5'})"
"frozenset({'RANKL', 'P61326', 'Q13242'})"
"frozenset({'RANKL', 'P27105', 'P07550'})"
"frozenset({'Q8IXJ6', 'RANKL', 'P30260'})"
"frozenset({'O75533', 'RANKL', 'Q13618'})"
"frozenset({'P55072', 'RANKL', 'P16871'})"
"frozenset({'RANKL', 'Q9BYV2', 'P54252'})"
"frozenset({'RANKL', 'P48304', 'P46379'})"
"frozenset({'Q9UJV3', 'RANKL', 'Q96M95'})"
"frozenset({'O14936', 'Q13009', 'RANKL'})"
"frozenset({'Q86Y78', 'O15031', 'RANKL'})"
"frozenset({'RANKL', 'Q9NYL2', 'P60953'})"
"frozenset({'RANKL', 'P29016', 'Q9NX62'})"
"frozenset({'Q9H7B2', 'RANKL', 'Q15020'})"
"frozenset({'O15105', 'RANKL', 'O15530'})"
"frozenset({'Q6ICG6', 'RANKL', 'Q04917'})"
"frozenset({'RANKL', 'P51610', 'P78537'})"
"frozenset({'RANKL', 'P17980', 'P35228'})"
"frozenset({'P29317', 'RANKL', 'Q15375'})"
"frozenset({'RANKL', 'P02794', 'Q8IWV7'})"
"frozenset({'P49888', 'P32189', 'RANKL'})"
"frozenset({'RANKL', 'Q14164', 'P17987'})"
"frozenset({'RANKL', 'P24928', 'P16403'})"
"frozenset({'RANKL', 'Q9Y3U8', 'P19320'})"
"frozenset({'RANKL', 'P06753', 'Q16719'})"
"frozenset({'Q14653', 'RANKL', 'Q8IZI9'})"
"frozenset({'Q13606', 'P25098', 'RANKL'})"
"frozenset({'RANKL', 'Q15366', 'Q6RFH8'})"
"frozenset({'RANKL', 'Q8TCJ0', 'Q9H2H0'})"
"frozenset({'RANKL', 'P63104', 'Q13509'})"
"frozenset({'P35813', 'P05388', 'RANKL'})"
"frozenset({'P30876', 'Q9NWT6', 'RANKL'})"
"frozenset({'RANKL', 'Q96G01', 'P23258'})"
"frozenset({'Q13422', 'O00560', 'RANKL'})"
"frozenset({'Q15046', 'RANKL', 'Q9NRC8'})"
"frozenset({'Q7KYR7', 'Q01968', 'RANKL'})"
"frozenset({'RANKL', 'P26951', 'Q8IZI9'})"
"frozenset({'Q08378', 'O95793', 'RANKL'})"
"frozenset({'Q96R67', 'RANKL', 'P49407'})"
"frozenset({'Q13303', 'Q8N5N7', 'RANKL'})"
"frozenset({'RANKL', 'O14777', 'Q96IY1'})"
"frozenset({'Q9H2C8', 'O60262', 'RANKL'})"
"frozenset({'RANKL', 'P11387', 'O75691'})"
"frozenset({'RANKL', 'Q99497', 'O94776'})"
"frozenset({'RANKL', 'Q00653', 'P01570'})"
"frozenset({'Q9Y5L4', 'Q16186', 'RANKL'})"
"frozenset({'RANKL', 'P05093', 'Q9UM11'})"
"frozenset({'RANKL', 'P49639', 'P60331'})"
"frozenset({'Q96PM5', 'RANKL', 'P61077'})"
"frozenset({'P51532', 'Q99814', 'RANKL'})"
"frozenset({'RANKL', 'P60568', 'P16871'})"
"frozenset({'Q16665', 'RANKL', 'Q9Y5L2'})"
"frozenset({'Q15046', 'RANKL', 'Q6PI48'})"
"frozenset({'Q16594', 'RANKL', 'O75486'})"
"frozenset({'RANKL', 'Q9H446', 'Q9Y295'})"
"frozenset({'RANKL', 'P27105', 'P19320'})"
"frozenset({'Q00839', 'RANKL', 'Q9Y3I0'})"
"frozenset({'P55318', 'P57740', 'RANKL'})"
"frozenset({'RANKL', 'Q92785', 'P19838'})"
"frozenset({'P50613', 'RANKL', 'Q6ZYL4'})"
"frozenset({'RANKL', 'Q96GE6', 'Q86XI6'})"
"frozenset({'Q8WWH4', 'Q99816', 'RANKL'})"
"frozenset({'Q9H9E3', 'Q8WVM8', 'RANKL'})"
"frozenset({'Q14012', 'Q9NP62', 'RANKL'})"
"frozenset({'RANKL', 'Q8TES7', 'Q9UPN4'})"
"frozenset({'Q9UBS0', 'RANKL', 'Q9Y5V3'})"
"frozenset({'RANKL', 'Q9BST9', 'Q9Y597'})"
"frozenset({'RANKL', 'Q9NS64', 'P41143'})"
"frozenset({'Q14197', 'RANKL', 'Q96CB9'})"
"frozenset({'RANKL', 'Q9UQL6', 'O43248'})"
"frozenset({'RANKL', 'P19174', 'O75167'})"
"frozenset({'P25490', 'RANKL', 'Q02447'})"
"frozenset({'RANKL', 'P36507', 'Q07889'})"
"frozenset({'RANKL', 'P24941', 'Q06830'})"
"frozenset({'P11474', 'RANKL', 'Q00987'})"
"frozenset({'Q9H9B4', 'RANKL', 'Q969G5'})"
"frozenset({'RANKL', 'P62136', 'Q9NZT1'})"
"frozenset({'RANKL', 'P51679', 'P08754'})"
"frozenset({'Q96F86', 'RANKL', 'P47897'})"
"frozenset({'Q9P0L0', 'O14653', 'RANKL'})"
"frozenset({'RANKL', 'Q8NGP8', 'O60262'})"
"frozenset({'P61160', 'RANKL', 'Q86V48'})"
"frozenset({'Q9H237', 'RANKL', 'P41221'})"
"frozenset({'RANKL', 'Q9Y3M2', 'Q9Y6R0'})"
"frozenset({'RANKL', 'Q9BZW7', 'O15060'})"
"frozenset({'Q9UBU8', 'RANKL', 'Q99459'})"
"frozenset({'RANKL', 'Q8IUH5', 'Q6ZU52'})"
"frozenset({'Q15428', 'O00213', 'RANKL'})"
"frozenset({'P13994', 'RANKL', 'Q8IWV7'})"
