#node	node_symbol	node_type
P20339	none	RAB5A
P63000	none	RAC1
Q9H0H5	none	RACGAP1
P04049	none	RAF1
P11233	none	RALA
P11234	none	RALB
Q15311	none	RALBP1
Q12967	none	RALGDS
P62834	none	RAP1A
P20936	none	RASA1
Q16576	tf	RBBP7
Q04206	tf	RELA
Q96D71	none	REPS1
Q8NFH8	none	REPS2
O14593	tf	RFXANK
O15492	none	RGS16
Q6R327	none	RICTOR
Q13671	none	RIN1
Q13546	none	RIPK1
Q15418	none	RPS6KA1
Q15349	none	RPS6KA2
P51812	none	RPS6KA3
O75582	none	RPS6KA5
Q9NP31	none	SH2D2A
Q8N5H7	none	SH2D3C
O75368	none	SH3BGRL
Q99962	none	SH3GL2
Q99963	none	SH3GL3
Q96B97	none	SH3KBP1
P29353	none	SHC1
O43255	none	SIAH2
Q15796	tf	SMAD2
P84022	tf	SMAD3
Q2TAY7	none	SMU1
P37840	none	SNCA
P62316	none	SNRPD2
O15524	none	SOCS1
O14543	none	SOCS3
Q07889	none	SOS1
Q07890	none	SOS2
P08047	tf	SP1
O43597	none	SPRY2
P12931	none	SRC
O75886	none	STAM2
O95630	none	STAMBP
P42224	tf	STAT1
P40763	tf	STAT3
P42229	tf	STAT5A
P51692	tf	STAT5B
P61764	none	STXBP1
Q15583	tf	TGIF1
Q15025	none	TNIP1
Q07912	none	TNK2
P0CG47	none	UBB
Q92738	none	USP6NL
P15498	none	VAV1
P52735	none	VAV2
Q9UKW4	none	VAV3
O00401	none	WASL
Q9H4A3	none	WNK1
P31946	none	YWHAB
P63104	none	YWHAZ
O75312	none	ZNF259
