NODEID	prize
B0YIW2_HUMAN	5.029365599650682
HTF4_HUMAN	4.582688156260696
FETUA_HUMAN	4.027455886706566
HBA_HUMAN	3.955817065609741
KCRM_HUMAN	3.885427876677981
B7ZKJ8_HUMAN	3.885427876677981
H4_HUMAN	3.885427876677981
FBLN1_HUMAN	3.885427876677981
H3BLZ8_HUMAN	3.737659276683696
MMTA2_HUMAN	3.645611351503717
CL16A_HUMAN	3.645611351503717
ALBU_HUMAN	3.495543593199523
UBAC2_HUMAN	3.4400540448812222
H37_HUMAN	3.4400540448812222
PHF3_HUMAN	3.324208299637505
DDX52_HUMAN	3.324208299637505
TBA1B_HUMAN	3.324208299637505
HNRPK_HUMAN	3.3188421301096285
Q5T5H1_HUMAN	3.3188421301096285
ZC11A_HUMAN	3.3188421301096285
EPB41_HUMAN	3.3010716433184752
LARP1_HUMAN	3.3010716433184752
GLYR1_HUMAN	3.291925211826148
ZC3HD_HUMAN	3.291925211826148
TRFE_HUMAN	3.2382104940279395
A0A0A0MTS7_HUMAN	3.238051370574229
RL34_HUMAN	3.199587163788601
HOMEZ_HUMAN	3.1604645579223023
A2MG_HUMAN	3.1604645579223023
ITIH2_HUMAN	3.144305136412102
PLMN_HUMAN	3.1395052780156214
PCLO_HUMAN	3.1395052780156214
TRFL_HUMAN	3.1395052780156214
NU153_HUMAN	3.1383736075715567
HNRH3_HUMAN	3.1358609655646563
H12_HUMAN	3.096027032739838
A0A087WVP1_HUMAN	3.0343829212843927
NDUA5_HUMAN	3.029621522802649
PZP_HUMAN	3.029621522802649
TRI32_HUMAN	3.029008185470572
ITIH1_HUMAN	3.029008185470572
TETN_HUMAN	3.029008185470572
POSTN_HUMAN	3.029008185470572
PTBP1_HUMAN	2.962566624533064
PEDF_HUMAN	2.962566624533064
A0A0G2JQJ7_HUMAN	2.962566624533064
CO7_HUMAN	2.962566624533064
CO3_HUMAN	2.962566624533064
A2AP_HUMAN	2.962566624533064
ANT3_HUMAN	2.9454736787752185
THBG_HUMAN	2.938925530905134
SRS10_HUMAN	2.829700827078314
LCAP_HUMAN	2.829700827078314
SRSF2_HUMAN	2.829700827078314
LUZP1_HUMAN	2.829700827078314
SP16H_HUMAN	2.829700827078314
AGAP2_HUMAN	2.829700827078314
A0A087X0X3_HUMAN	2.795249183187452
C9JV77_HUMAN	2.7916197949376103
H15_HUMAN	2.747877665335442
A8MXP9_HUMAN	2.7306756910406835
WBP11_HUMAN	2.7306756910406835
RASL3_HUMAN	2.7306756910406835
E9PCW1_HUMAN	2.7306756910406835
APOA1_HUMAN	2.720750771925425
A9Z1X7_HUMAN	2.7206557198521564
MPZL1_HUMAN	2.7206557198521564
PTN1_HUMAN	2.7206557198521564
EIF3A_HUMAN	2.7053973652732437
CO9_HUMAN	2.642270222720444
DNLI1_HUMAN	2.62905096626394
A0A087WX41_HUMAN	2.62527679827281
RSRC2_HUMAN	2.62527679827281
MAGD1_HUMAN	2.6037488593668185
K4DI81_HUMAN	2.58545961733328
TSP4_HUMAN	2.5781570496516366
MCTP2_HUMAN	2.5739996934436533
SRRM2_HUMAN	2.5599794882543963
PHAX_HUMAN	2.55229335257594
CCD86_HUMAN	2.5433868130220105
T2AG_HUMAN	2.5153505347187397
RBM14_HUMAN	2.51233260431366
SNIP1_HUMAN	2.51233260431366
RS10_HUMAN	2.4894305938870938
PRC2C_HUMAN	2.4894305938870938
JUPI1_HUMAN	2.48882925856076
A0A075B738_HUMAN	2.481386971939166
LYAR_HUMAN	2.481386971939166
ABI1_HUMAN	2.481386971939166
KPBB_HUMAN	2.481386971939166
A0A0G2JPR0_HUMAN	2.460765792624727
M0QYC1_HUMAN	2.432755782368094
PHF2_HUMAN	2.415789642322741
PRC2A_HUMAN	2.4140889675670696
NEK4_HUMAN	2.4140889675670696
TF2B_HUMAN	2.4140889675670696
HJURP_HUMAN	2.4140889675670696
STMN1_HUMAN	2.4140889675670696
GELS_HUMAN	2.4104977645875323
RAI1_HUMAN	2.407172399141249
TTC4_HUMAN	2.380388595749011
FA53C_HUMAN	2.349945242744137
H0Y5F5_HUMAN	2.3235758982106964
TBB4A_HUMAN	2.323008637528439
HMHA1_HUMAN	2.320724815309965
LEUK_HUMAN	2.3002413241447117
RRP12_HUMAN	2.296341778114889
VTDB_HUMAN	2.287877464838444
LMO7_HUMAN	2.283650895240041
RNF25_HUMAN	2.283650895240041
C10_HUMAN	2.281967707725145
SKI2_HUMAN	2.281967707725145
ATP4A_HUMAN	2.281967707725145
TCF25_HUMAN	2.281967707725145
TM160_HUMAN	2.2816943670374368
ACINU_HUMAN	2.2724349590916813
C9JYS8_HUMAN	2.2724349590916813
TSP1_HUMAN	2.265610263847204
PCM1_HUMAN	2.2486198914855287
CLAP1_HUMAN	2.24046014360604
A0A0C4DGB9_HUMAN	2.236380744008414
TRA2B_HUMAN	2.2320502169087955
HEBP2_HUMAN	2.2211603377352622
GLE1_HUMAN	2.2142665101729357
CUL4A_HUMAN	2.2123687456514425
RB15B_HUMAN	2.208371655746705
PHF8_HUMAN	2.20252042150617
KI67_HUMAN	2.198038970223691
H0Y449_HUMAN	2.195984606980593
FEM1A_HUMAN	2.1906023175925395
MY18A_HUMAN	2.175819836002309
GBB3_HUMAN	2.175819836002309
RBP56_HUMAN	2.153112950890257
TBC13_HUMAN	2.1478379363448883
SF3B1_HUMAN	2.1439001320846174
AKT2_HUMAN	2.1439001320846174
SLTM_HUMAN	2.1439001320846174
RBM22_HUMAN	2.1439001320846174
ATF7_HUMAN	2.1439001320846174
ARC1A_HUMAN	2.1439001320846174
NDUB8_HUMAN	2.114945948576723
SENP1_HUMAN	2.114945948576723
CD2AP_HUMAN	2.112392025090484
CDK9_HUMAN	2.105059488765234
S39AA_HUMAN	2.101534906059656
NFAC1_HUMAN	2.101534906059656
RB_HUMAN	2.100687896308613
B7WPE2_HUMAN	2.100687896308613
LS14A_HUMAN	2.100687896308613
ATF2_HUMAN	2.100160602610354
H14_HUMAN	2.096770743840173
KAPCB_HUMAN	2.093004073260828
NELFE_HUMAN	2.093004073260828
NUCL_HUMAN	2.093004073260828
ARFG2_HUMAN	2.093004073260828
RL1D1_HUMAN	2.093004073260828
IF16_HUMAN	2.093004073260828
ZMYD8_HUMAN	2.093004073260828
BD1L1_HUMAN	2.093004073260828
SMG5_HUMAN	2.093004073260828
GBRG2_HUMAN	2.093004073260828
UBP1_HUMAN	2.093004073260828
SPIR1_HUMAN	2.093004073260828
CRTC1_HUMAN	2.093004073260828
DBNL_HUMAN	2.093004073260828
CTRO_HUMAN	2.093004073260828
DDX5_HUMAN	2.093004073260828
NCBP1_HUMAN	2.093004073260828
ELL2_HUMAN	2.093004073260828
TLE5_HUMAN	2.093004073260828
ROA2_HUMAN	2.093004073260828
CAP1_HUMAN	2.093004073260828
NPM_HUMAN	2.093004073260828
MCES_HUMAN	2.093004073260828
E9PGC8_HUMAN	2.093004073260828
RSRC1_HUMAN	2.093004073260828
MARE2_HUMAN	2.093004073260828
H2B1M_HUMAN	2.093004073260828
TB182_HUMAN	2.093004073260828
TR150_HUMAN	2.093004073260828
J3QR29_HUMAN	2.093004073260828
THOC5_HUMAN	2.093004073260828
A0A096LP69_HUMAN	2.093004073260828
NOLC1_HUMAN	2.093004073260828
CCNT1_HUMAN	2.093004073260828
A0A087X188_HUMAN	2.093004073260828
A0A075B6G3_HUMAN	2.093004073260828
RBMX_HUMAN	2.093004073260828
IF4B_HUMAN	2.093004073260828
ROA0_HUMAN	2.093004073260828
T2FA_HUMAN	2.093004073260828
WNK1_HUMAN	2.093004073260828
MTCL2_HUMAN	2.093004073260828
SRSF4_HUMAN	2.093004073260828
TRIPC_HUMAN	2.093004073260828
SNX17_HUMAN	2.093004073260828
PCF11_HUMAN	2.093004073260828
DC1L1_HUMAN	2.093004073260828
