Node1	Node2
P32234	M9PHX4;M9PI02;O77284;Q8IQX7
P32234	A0A0B4LFE1;Q7K5M2
P32234	A0A0B4LHM3;Q8IMY6;Q8MQQ0;Q9VCL6
P32234	A0A0C4DHA5;Q8IPP2;Q9VN84
P32234	Q4U2G8;Q8IH56
P32234	A0A0B4LF41;Q8SWZ1
P32234	A1ZBH1;A8DYI9;Q7K4M9
P32234	A0A0B4KFL6;Q9VHB4
P32234	Q7KTS3;Q9VNC9
P32234	Q8IPA5;Q8IPA6;Q8IPA7;Q8IPA8
P32234	Q7KSI6;Q9VF73;Q9VF74
P32234	M9PF86;Q7KUK4
P32234	M9MSJ7;M9PGW2;Q9W081
P32234	A0A0B4KFB8;A0A0B4LGR1;Q6NN86;Q9VI14
P32234	B9EQU7;H0RN67;Q9W134
P32234	Q8SWX8;Q9VG80
P32234	M9PG67;Q9VPH6
P32234	Q9VPF5;X2JBC3
P32234	A2VEG3;M9PDD2;M9PDK6;M9PDX3;Q8SZ43;Q9VID5
P32234	M9PGZ2;Q9VYM0
P32234	E2QCM9;Q4V3E9
P32234	E1JHE4;Q9VKU1
P32234	Q9VQK9;X2J6Q6
P32234	M9PH26;Q9W4I4
P32234	A0A0B4KF92;A0A0B4LGM5;A0A0B4LGS6;Q9VNC3
P32234	C0HL66;C0HL67
P32234	M9PHI2;Q8IQX8;Q9VWT1
P32234	Q961E7;Q9I7D0;X2JEJ4
P32234	Q7KMQ6;Q9V3L4;Q9Y0B6
P32234	A0A0B4KF69;A1ZA05;Q0E965
P32234	A0A0B4KGV9;A0A126GV03;Q8IMV6
P32234	P06754;P49455
P32234	M9PDK3;Q9W0L7
P32234	M9MRG4;M9PCJ7;Q76NQ3;Q9VL07
P32234	Q86B74;Q9VAT0
P32234	A0A0B4LFU9;Q9XZ31
P32234	A8DZ29;O61380
P32234	M9ND89;M9NDQ8;M9NE94;M9NFB1;M9NFB8;Q6NN29;Q7KUK1;Q8T0E0;Q9VUD7
P32234	Q9NF31;Q9W523
P92177	A0A0B4KF17;Q86BG1;Q9W2J2
P92177	A0A0B4KEW6;A0A0B4KFR7;Q7KLE5
P92177	Q7KSB7;Q9VDS9
P92177	Q8MQJ7;Q9VU14
P92177	A0A0B4K6W0;A0A0B4K7L3;A0A0B4K7W2;A0A0B4KEH7;A0A0B4KEJ6;A1Z866;A1Z867;A1Z869;A1Z870;A1Z871;A1Z872;B7YZD8;B7YZD9;B7YZE0;D3DMM3;Q7JR75;Q7K1M7;Q86P80;Q966U7;Q966V0
P92177	Q7KU78;Q8MZI3
P92177	M9PBE1;Q9VIV0
P92177	Q8IQH2;Q9VTY2
P92177	E1JHP8;M9PAY1;Q86BM6
P92177	E1JGW0;Q59E63;Q9W195
P92177	A0A126GV33;Q9VA29
P92177	A0A0B4JD23;A0A0B4JDE3;A0A0B4KHF5;A0A0B4KHJ3;A0A0B4KHW7;Q7KRU0;Q8IMI0;Q961V3;Q9VA53
P92177	A1ZBB4;A8E6M1;E1JGL8
P92177	M9PC74;Q7K1W8
P92177	A1Z9F4;A8DYC9;Q7JRK7;Q86NK6;Q8IGA7
P92177	H9XVQ0;Q59DP3;Q59DP4
P92177	M9NFE4;Q9V9N3
P92177	A0A023GRW3;M9NDC4;M9PDX7;Q8IPW6
P92177	Q9W448;X2JDV7
P92177	A1Z9F0;E1JH60;E1JH61;Q6IDH2;Q8SZX5
P92177	A1ZAE9;A1ZAF2;A1ZAF3
P92177	M9PFY2;Q8IQQ8;Q9VVF4
P92177	M9PEP5;M9PEY1;M9PF46;M9PHW7;Q9VT32;Q9VT33
P92177	A0A0B4K6G6;A0A0B4K6U2;E1JIJ7;Q8INH9;Q9VG05
P92177	A8JNI2;Q7YZ99;Q86BP9;Q9W0B0;X2J8K5
P92177	Q9VXR3;X2JC16;X2JDY2;X2JF73;X2JF83;X2JFK0;X2JKH9
P92177	A0A0B4K859;A1Z945
P92177	A0A0B4LFQ7;A1ZAP1
P92177	Q8IQW2;Q9VWD1
P92177	A4V110;Q0KIF7;Q7JMV3
P92177	A0A0B4K6A6;A0A0B4K6E2;A0A0B4K6R7;A0A0B4K790;A0A0B4LHD7;A0A0B4LHD9;Q9VDG5
P92177	O46034;Q9VSK2
P92177	A0A0B4LGX0;Q9VHP9
P92177	M9PE30;Q9VZI1
