NODEID	prize	active
M9ND95	0.1302042001186159	True
E1JHJ3	0.4755631593996939	True
M9NEP1	0.4065877169949334	True
P13395	0.009548851618661328	True
Q9VLH9	0.6117797971621751	True
Q9VLI0	0.5588673740371235	True
A4V0N4	0.8960481555808034	True
Q9W4Y3	0.773830439607172	True
Q8IRV7	0.35913658221788824	True
P13060	0.12119958844852705	True
Q05825	0.11721871316592895	True
Q8MLU9	0.14757384635214413	True
A8JNJ6	0.5530385229083671	True
E1JIJ5	1.0710159889167923	True
Q9V496	0.2827930252569793	True
Q9VF53	0.709282109935108	True
Q9VIE8	0.6964737719351657	True
P35381	0.3579362411260268	True
Q7KN97	0.8202032848538674	True
A0A0B4JD95	0.5614387772159705	True
Q99323	0.05683216981681791	True
Q9VYD9	0.7831258562120059	True
A4V1N8	0.3459434358381243	True
M9PF16	0.3397190504924999	True
P10987	0.2361756487740768	True
A8JNP2	0.6406055378325893	True
Q9VEB1	0.8156059966255711	True
P13607	0.053412013240804766	True
Q9VLI2	0.8944745840790439	True
Q8IN25	0.555901079995854	True
P53501	0.5161079516746941	True
P54385	0.5210557212544047	True
Q9VQL7	0.7109478057274995	True
Q8MRN5	0.5379611245186947	True
P11147	0.6019849286266769	True
Q7KW39	0.6821288148482303	True
Q9VVA4	0.5530385229083671	True
Q9VLC5	0.6918884825777728	True
Q8IPB7	0.1579486694428909	True
D1YSG0	0.4174469754961949	True
Q7KUB1	0.7628918614024882	True
Q9VKV1	0.2916019913705186	True
Q9V397	0.438461210278551	True
P02574	0.31157825142931544	True
O02649	0.3995066908347358	True
X2JFD6	1.1947796388981673	True
Q9VL70	0.05230174347818413	True
P17336	1.0222763834164155	True
P54399	0.320207103601409	True
Q9VW68	1.1685040012340646	True
Q23979	0.4226522810923568	True
Q9VHN7	0.38967678705493697	True
P83967	0.331881261546223	True
Q9VAC1	0.9536979158380731	True
O62619	1.1947796388981673	True
X2JC31	0.11939607459859228	True
Q94511	0.773830439607172	True
Q9VGZ3	0.963962891106832	True
Q94920	0.709282109935108	True
Q9W0S7	0.22236006281435688	True
A0A0B4JCU8	0.8388071110145741	True
M9PD18	0.18677608141120824	True
H8F4T3	1.1947796388981673	True
Q9VG32	0.408972387935993	True
Q9VIJ0	1.1947796388981673	True
Q9VXI1	0.036851337333391625	True
Q9VVL7	1.1038095716643963	True
A8JNU6	0.7525594754313636	True
M9PBJ0	0.009548851618661328	True
P29844	0.3990296289003029	True
P91938	0.4433483430991932	True
Q8IQQ0	0.044110937364925475	True
C8VV14	0.09433432312412081	True
Q9VFF0	0.6728684587414786	True
Q8SWX4	0.6315792232046247	True
Q9VE75	1.1947796388981673	True
E1JHR5	0.9270644764422283	True
Q9W374	0.8827969470272118	True
Q7KN62	0.3782177158970746	True
Q9VCR2	0.9541084028442859	True
M9PC43	0.3176984365697942	True
A0A0B4LHZ4	0.8690729976156621	True
Q9VV75	0.3594198567414443	True
