negatives
"frozenset({'IL5', 'P62750', 'Q12905'})"
"frozenset({'Q16827', 'IL5', 'P09327'})"
"frozenset({'Q9NV58', 'O43809', 'IL5'})"
"frozenset({'Q9NY74', 'IL5', 'P62805'})"
"frozenset({'IL5', 'Q13043', 'Q16778'})"
"frozenset({'P35579', 'IL5', 'Q92905'})"
"frozenset({'P09972', 'IL5', 'P61764'})"
"frozenset({'P20073', 'IL5', 'Q13573'})"
"frozenset({'Q9NRR6', 'IL5', 'Q15678'})"
"frozenset({'IL5', 'Q5JXX5', 'P78362'})"
"frozenset({'P36542', 'IL5', 'Q96D53'})"
"frozenset({'IL5', 'P50542', 'O14980'})"
"frozenset({'IL5', 'Q9NWT6', 'Q92844'})"
"frozenset({'IL5', 'O96017', 'P27361'})"
"frozenset({'IL5', 'P60409', 'P02008'})"
"frozenset({'IL5', 'Q99590', 'P09001'})"
"frozenset({'O00400', 'O95149', 'IL5'})"
"frozenset({'P39880', 'Q9BQ52', 'IL5'})"
"frozenset({'P40763', 'Q13950', 'IL5'})"
"frozenset({'P49736', 'IL5', 'Q13867'})"
"frozenset({'Q14980', 'P61956', 'IL5'})"
"frozenset({'IL5', 'P78318', 'Q86U38'})"
"frozenset({'IL5', 'Q9Y239', 'Q92905'})"
"frozenset({'IL5', 'P35609', 'P63244'})"
"frozenset({'IL5', 'Q8N6T7', 'Q4G0J3'})"
"frozenset({'Q00059', 'Q07021', 'IL5'})"
"frozenset({'IL5', 'P41743', 'P02686'})"
"frozenset({'IL5', 'P25774', 'P48594'})"
"frozenset({'P49902', 'IL5', 'Q9BVI4'})"
"frozenset({'Q8N109', 'IL5', 'P17693'})"
"frozenset({'IL5', 'P67775', 'Q13136'})"
"frozenset({'Q9NQS3', 'IL5', 'Q9BT40'})"
"frozenset({'IL5', 'P63162', 'Q5T3J3'})"
"frozenset({'P42704', 'IL5', 'Q9UBK9'})"
"frozenset({'IL5', 'Q8WWC4', 'Q96DB2'})"
"frozenset({'Q6ZRV2', 'P07900', 'IL5'})"
"frozenset({'IL5', 'P63172', 'Q9UHY1'})"
"frozenset({'P05549', 'O14965', 'IL5'})"
"frozenset({'Q9NYA1', 'IL5', 'Q9Y4K3'})"
"frozenset({'Q6ZW49', 'Q9UJX2', 'IL5'})"
"frozenset({'Q9NRZ7', 'Q96BA8', 'IL5'})"
"frozenset({'Q96HA1', 'P63010', 'IL5'})"
"frozenset({'P57678', 'Q5BKZ1', 'IL5'})"
"frozenset({'IL5', 'P52735', 'P42681'})"
"frozenset({'P62979', 'IL5', 'Q9UKV5'})"
"frozenset({'IL5', 'P55084', 'Q8N4Q1'})"
"frozenset({'P03372', 'IL5', 'Q06609'})"
"frozenset({'P06493', 'P50613', 'IL5'})"
"frozenset({'Q13114', 'Q96DC9', 'IL5'})"
"frozenset({'P29590', 'IL5', 'P00325'})"
"frozenset({'Q93050', 'IL5', 'P62841'})"
"frozenset({'IL5', 'Q8TBE0', 'Q8TF50'})"
"frozenset({'IL5', 'Q9NVV9', 'Q6ZN18'})"
"frozenset({'IL5', 'Q9H0W5', 'P51148'})"
"frozenset({'Q13315', 'Q8N680', 'IL5'})"
"frozenset({'P20711', 'P18850', 'IL5'})"
"frozenset({'Q96CP2', 'P62807', 'IL5'})"
"frozenset({'IL5', 'Q9UHD2', 'P63208'})"
"frozenset({'IL5', 'O60573', 'P15173'})"
"frozenset({'IL5', 'P15260', 'P05014'})"
"frozenset({'Q9H2X6', 'IL5', 'P02686'})"
"frozenset({'IL5', 'Q92624', 'P58549'})"
"frozenset({'P22626', 'IL5', 'P04792'})"
"frozenset({'IL5', 'P46781', 'P01730'})"
"frozenset({'IL5', 'Q96SW2', 'P00367'})"
"frozenset({'P12956', 'IL5', 'O75528'})"
"frozenset({'IL5', 'Q13191', 'P23458'})"
"frozenset({'P42224', 'IL5', 'Q30154'})"
"frozenset({'Q6NUJ2', 'IL5', 'Q7Z3S9'})"
"frozenset({'IL5', 'O94875', 'P42684'})"
"frozenset({'IL5', 'Q9P0U3', 'Q92769'})"
"frozenset({'Q99471', 'IL5', 'Q8WU58'})"
"frozenset({'Q96FW1', 'IL5', 'P24752'})"
"frozenset({'IL5', 'O14776', 'P55316'})"
"frozenset({'IL5', 'Q9Y3A2', 'Q9Y3B9'})"
"frozenset({'IL5', 'Q0ZGT2', 'O00159'})"
"frozenset({'P05412', 'IL5', 'Q13868'})"
"frozenset({'P61289', 'IL5', 'Q5SXM2'})"
"frozenset({'P46937', 'IL5', 'P63151'})"
"frozenset({'P39023', 'IL5', 'Q9UNX3'})"
"frozenset({'IL5', 'P78362', 'Q9BXL7'})"
"frozenset({'Q9NX09', 'IL5', 'Q5T3J3'})"
"frozenset({'Q13905', 'IL5', 'Q9NUQ6'})"
"frozenset({'IL5', 'Q96D71', 'P0DI81'})"
"frozenset({'IL5', 'P63173', 'Q93034'})"
"frozenset({'P29460', 'IL5', 'P15260'})"
"frozenset({'P26045', 'Q12906', 'IL5'})"
"frozenset({'IL5', 'P22736', 'Q8TAE8'})"
"frozenset({'Q7Z4H7', 'IL5', 'Q68CZ6'})"
"frozenset({'IL5', 'P56693', 'Q969H0'})"
"frozenset({'Q5JWF2', 'IL5', 'P04439'})"
"frozenset({'Q14344', 'Q96QD9', 'IL5'})"
"frozenset({'IL5', 'Q9UJU2', 'Q99697'})"
"frozenset({'Q15007', 'P19544', 'IL5'})"
"frozenset({'IL5', 'Q9UQM7', 'Q01959'})"
"frozenset({'Q9BZL6', 'IL5', 'P19793'})"
"frozenset({'P15559', 'O14867', 'IL5'})"
"frozenset({'P16871', 'IL5', 'P48643'})"
"frozenset({'Q13153', 'P63167', 'IL5'})"
"frozenset({'P08581', 'IL5', 'Q05397'})"
"frozenset({'IL5', 'P08670', 'Q14203'})"
"frozenset({'P62714', 'IL5', 'Q13698'})"
"frozenset({'Q6ZW49', 'IL5', 'O94832'})"
"frozenset({'IL5', 'P63208', 'Q8TB52'})"
"frozenset({'Q92698', 'IL5', 'Q9P2P5'})"
"frozenset({'IL5', 'Q9Y376', 'O14874'})"
"frozenset({'IL5', 'P37802', 'Q17RP2'})"
"frozenset({'IL5', 'P02786', 'P20963'})"
"frozenset({'IL5', 'P52597', 'Q6IQ23'})"
"frozenset({'P49841', 'IL5', 'Q8TEY5'})"
"frozenset({'IL5', 'P25398', 'Q02543'})"
"frozenset({'Q99933', 'P39687', 'IL5'})"
"frozenset({'IL5', 'P55157', 'O15117'})"
"frozenset({'IL5', 'P31942', 'Q92841'})"
"frozenset({'IL5', 'Q9Y2I6', 'P62136'})"
"frozenset({'O75398', 'IL5', 'P01112'})"
"frozenset({'IL5', 'P18887', 'Q9UNA4'})"
"frozenset({'P22626', 'IL5', 'O95433'})"
"frozenset({'P51449', 'P17844', 'IL5'})"
"frozenset({'IL5', 'P01112', 'P63215'})"
"frozenset({'O43166', 'IL5', 'O75420'})"
"frozenset({'IL5', 'Q8NGR1', 'P22612'})"
"frozenset({'IL5', 'P05386', 'P42766'})"
"frozenset({'IL5', 'Q9UQM7', 'P29475'})"
"frozenset({'Q14114', 'IL5', 'P02649'})"
"frozenset({'P07766', 'Q13424', 'IL5'})"
"frozenset({'P10827', 'P35637', 'IL5'})"
"frozenset({'IL5', 'Q8N448', 'Q15750'})"
"frozenset({'P05412', 'IL5', 'Q13177'})"
"frozenset({'IL5', 'O60869', 'Q06945'})"
"frozenset({'Q96AE4', 'Q99439', 'IL5'})"
"frozenset({'IL5', 'Q7L5N1', 'P05305'})"
"frozenset({'P62333', 'IL5', 'O00231'})"
"frozenset({'Q03135', 'IL5', 'Q969M3'})"
"frozenset({'O75964', 'IL5', 'P08574'})"
"frozenset({'IL5', 'Q96JM3', 'Q8WVE6'})"
"frozenset({'IL5', 'P42345', 'Q96B36'})"
"frozenset({'O00755', 'IL5', 'Q9ULV1'})"
"frozenset({'Q96C28', 'Q9BYN8', 'IL5'})"
"frozenset({'Q13619', 'IL5', 'O94888'})"
"frozenset({'IL5', 'O43566', 'P11215'})"
"frozenset({'P62987', 'IL5', 'Q6ICB0'})"
"frozenset({'IL5', 'Q01850', 'Q8IYE0'})"
"frozenset({'IL5', 'Q9BWF3', 'P26368'})"
"frozenset({'P39210', 'P17568', 'IL5'})"
"frozenset({'IL5', 'Q07912', 'Q9NYZ3'})"
"frozenset({'O43290', 'IL5', 'P07910'})"
"frozenset({'IL5', 'Q9Y3D6', 'P06576'})"
"frozenset({'P51679', 'IL5', 'P78423'})"
"frozenset({'A6NHR9', 'IL5', 'P02751'})"
"frozenset({'O00182', 'IL5', 'Q68D85'})"
"frozenset({'P32121', 'IL5', 'Q8NHC5'})"
"frozenset({'Q9NQT5', 'Q9NPD3', 'IL5'})"
"frozenset({'Q00839', 'IL5', 'Q13535'})"
"frozenset({'Q9NQ50', 'IL5', 'Q9NP92'})"
"frozenset({'Q96SB3', 'IL5', 'P29353'})"
"frozenset({'IL5', 'P15927', 'P46781'})"
"frozenset({'P05067', 'Q9BXB4', 'IL5'})"
"frozenset({'Q96I24', 'IL5', 'O15027'})"
"frozenset({'P84103', 'IL5', 'O60260'})"
"frozenset({'Q9UHQ9', 'IL5', 'A8MV81'})"
"frozenset({'Q86VB7', 'O43508', 'IL5'})"
"frozenset({'P61586', 'Q8WWN8', 'IL5'})"
"frozenset({'IL5', 'Q9BV47', 'Q14683'})"
"frozenset({'IL5', 'O95171', 'Q08379'})"
"frozenset({'Q9BZZ5', 'IL5', 'Q13573'})"
"frozenset({'IL5', 'Q9UBU9', 'Q9BZC7'})"
"frozenset({'P62987', 'IL5', 'P54725'})"
"frozenset({'Q12972', 'Q15022', 'IL5'})"
"frozenset({'P26373', 'IL5', 'P78362'})"
"frozenset({'P80723', 'IL5', 'Q9Y572'})"
"frozenset({'P35613', 'IL5', 'P50748'})"
"frozenset({'P09086', 'IL5', 'Q99958'})"
"frozenset({'IL5', 'Q9BXB1', 'Q9BXP5'})"
"frozenset({'Q12849', 'Q7L2E3', 'IL5'})"
"frozenset({'Q92625', 'IL5', 'P04626'})"
"frozenset({'IL5', 'Q99459', 'Q99661'})"
"frozenset({'Q06830', 'IL5', 'P29401'})"
"frozenset({'Q9BRQ0', 'IL5', 'Q6VAB6'})"
"frozenset({'IL5', 'Q5TCM9', 'Q5T7P3'})"
"frozenset({'IL5', 'P78318', 'P12830'})"
"frozenset({'IL5', 'P04629', 'Q15418'})"
"frozenset({'IL5', 'Q99250', 'Q86XS8'})"
"frozenset({'IL5', 'Q9BY67', 'Q13368'})"
"frozenset({'IL5', 'O15347', 'P17096'})"
"frozenset({'IL5', 'Q9BRP4', 'P04183'})"
"frozenset({'P22314', 'P04233', 'IL5'})"
"frozenset({'O43909', 'Q15788', 'IL5'})"
"frozenset({'P62879', 'P34969', 'IL5'})"
"frozenset({'Q8WZ42', 'IL5', 'Q14896'})"
"frozenset({'IL5', 'P31943', 'Q13573'})"
"frozenset({'Q92620', 'IL5', 'P22626'})"
"frozenset({'P98170', 'IL5', 'P63279'})"
"frozenset({'IL5', 'Q8NFT6', 'P58658'})"
"frozenset({'O14908', 'IL5', 'P33993'})"
"frozenset({'IL5', 'P25208', 'P60842'})"
"frozenset({'IL5', 'P16152', 'Q9UMF0'})"
"frozenset({'IL5', 'O43251', 'P26368'})"
"frozenset({'P05161', 'Q14651', 'IL5'})"
"frozenset({'O95352', 'IL5', 'Q99538'})"
"frozenset({'Q92599', 'IL5', 'O94921'})"
"frozenset({'IL5', 'Q9H0W5', 'Q6KC79'})"
"frozenset({'IL5', 'P62241', 'Q9Y2X3'})"
"frozenset({'Q08828', 'IL5', 'P63092'})"
"frozenset({'O95983', 'IL5', 'Q9ULG1'})"
"frozenset({'O14727', 'IL5', 'P99999'})"
"frozenset({'Q3LI64', 'IL5', 'Q96IQ9'})"
"frozenset({'P31689', 'IL5', 'P15822'})"
"frozenset({'O60341', 'IL5', 'P15884'})"
"frozenset({'P63104', 'IL5', 'P81605'})"
"frozenset({'P35222', 'P52272', 'IL5'})"
"frozenset({'Q9NPJ6', 'IL5', 'Q14677'})"
"frozenset({'Q6DKI1', 'IL5', 'O75147'})"
"frozenset({'P11586', 'IL5', 'O95166'})"
"frozenset({'Q15007', 'IL5', 'P43364'})"
"frozenset({'Q9NYY8', 'IL5', 'Q8IXZ2'})"
"frozenset({'P61026', 'Q7RTP6', 'IL5'})"
"frozenset({'IL5', 'P04792', 'O14920'})"
"frozenset({'IL5', 'P14780', 'P14598'})"
"frozenset({'Q6QEF8', 'Q9UL45', 'IL5'})"
"frozenset({'IL5', 'P60409', 'P28799'})"
"frozenset({'P26196', 'IL5', 'P31946'})"
"frozenset({'P35249', 'Q9Y2M0', 'IL5'})"
"frozenset({'IL5', 'P41594', 'Q05586'})"
"frozenset({'P46782', 'IL5', 'Q07020'})"
"frozenset({'Q8IVD9', 'IL5', 'Q96C01'})"
"frozenset({'IL5', 'Q13137', 'Q14164'})"
"frozenset({'O96028', 'IL5', 'Q14676'})"
"frozenset({'O60641', 'Q16854', 'IL5'})"
"frozenset({'P45973', 'IL5', 'Q71DI3'})"
"frozenset({'IL5', 'P78424', 'Q8WW01'})"
"frozenset({'O14818', 'Q19T08', 'IL5'})"
"frozenset({'IL5', 'P19532', 'P53396'})"
"frozenset({'P38405', 'Q96RA2', 'IL5'})"
"frozenset({'IL5', 'Q8TD31', 'O00327'})"
"frozenset({'IL5', 'Q96J01', 'Q13177'})"
"frozenset({'IL5', 'O14980', 'Q96DI7'})"
"frozenset({'IL5', 'Q96A00', 'Q15139'})"
"frozenset({'O60216', 'IL5', 'Q12931'})"
"frozenset({'Q96T76', 'IL5', 'P04843'})"
"frozenset({'IL5', 'Q9HCE1', 'Q9UPT5'})"
"frozenset({'IL5', 'O94952', 'P22304'})"
"frozenset({'P09544', 'Q9ULW2', 'IL5'})"
"frozenset({'IL5', 'P16144', 'P78423'})"
"frozenset({'P36542', 'IL5', 'O00459'})"
"frozenset({'Q92830', 'IL5', 'Q03112'})"
"frozenset({'P10515', 'IL5', 'P36957'})"
"frozenset({'IL5', 'O14980', 'Q9NWT6'})"
"frozenset({'IL5', 'Q01814', 'Q9BXB1'})"
"frozenset({'Q9BW85', 'IL5', 'Q9ULR0'})"
"frozenset({'Q8IY92', 'O00193', 'IL5'})"
"frozenset({'Q96AG4', 'IL5', 'Q9UGM1'})"
"frozenset({'Q6TCH7', 'IL5', 'Q92466'})"
"frozenset({'IL5', 'P26599', 'P46531'})"
"frozenset({'P39023', 'Q13233', 'IL5'})"
"frozenset({'Q9P2D1', 'Q86U86', 'IL5'})"
"frozenset({'IL5', 'O75618', 'P14635'})"
"frozenset({'IL5', 'P39060', 'Q9HAT2'})"
"frozenset({'O43318', 'IL5', 'P63244'})"
"frozenset({'IL5', 'P49959', 'Q9H816'})"
"frozenset({'Q14999', 'IL5', 'P27824'})"
"frozenset({'O95373', 'Q9UBS0', 'IL5'})"
"frozenset({'P30466', 'IL5', 'P04439'})"
"frozenset({'Q99595', 'P84103', 'IL5'})"
"frozenset({'Q9Y6K9', 'IL5', 'P53355'})"
"frozenset({'IL5', 'O94992', 'Q05519'})"
"frozenset({'IL5', 'P09874', 'Q13156'})"
"frozenset({'O15350', 'IL5', 'Q8IYR0'})"
"frozenset({'IL5', 'Q13620', 'P46776'})"
"frozenset({'Q9NYF3', 'Q9BQ89', 'IL5'})"
"frozenset({'Q14019', 'IL5', 'P50238'})"
"frozenset({'P04637', 'IL5', 'P61254'})"
"frozenset({'Q96EY7', 'P51398', 'IL5'})"
"frozenset({'Q8NFW5', 'Q9UL26', 'IL5'})"
"frozenset({'IL5', 'Q16763', 'Q93009'})"
"frozenset({'IL5', 'P42331', 'Q13557'})"
"frozenset({'IL5', 'P49917', 'P62495'})"
"frozenset({'Q9Y297', 'IL5', 'P98174'})"
"frozenset({'P83916', 'IL5', 'P04792'})"
"frozenset({'Q96F25', 'IL5', 'Q99871'})"
"frozenset({'Q9NRH1', 'IL5', 'O15068'})"
"frozenset({'O94953', 'IL5', 'P68431'})"
"frozenset({'IL5', 'Q14588', 'P60953'})"
"frozenset({'IL5', 'Q8N163', 'P11142'})"
"frozenset({'Q5VTL8', 'IL5', 'P35240'})"
"frozenset({'IL5', 'P04406', 'Q9BX70'})"
"frozenset({'IL5', 'Q9NTX9', 'P16333'})"
"frozenset({'P35638', 'O43521', 'IL5'})"
"frozenset({'P40763', 'IL5', 'Q8N988'})"
"frozenset({'P19388', 'P62136', 'IL5'})"
"frozenset({'Q8N653', 'IL5', 'Q9H9Y6'})"
"frozenset({'Q12772', 'IL5', 'P84022'})"
"frozenset({'IL5', 'P22061', 'P11171'})"
"frozenset({'IL5', 'Q13972', 'P10301'})"
"frozenset({'Q7RTU3', 'IL5', 'P55081'})"
"frozenset({'O76011', 'IL5', 'A5D8T8'})"
"frozenset({'Q9H0R8', 'P62277', 'IL5'})"
"frozenset({'O43610', 'IL5', 'Q5T7P3'})"
"frozenset({'P80162', 'IL5', 'P49238'})"
"frozenset({'Q92731', 'Q09161', 'IL5'})"
"frozenset({'O14730', 'IL5', 'Q9H0X9'})"
"frozenset({'Q13287', 'IL5', 'P50402'})"
"frozenset({'IL5', 'Q9UJT2', 'P55157'})"
"frozenset({'IL5', 'Q6P3W7', 'Q13573'})"
"frozenset({'P04181', 'IL5', 'P48739'})"
"frozenset({'Q1MSJ5', 'IL5', 'Q86YM7'})"
"frozenset({'Q13618', 'IL5', 'P04053'})"
"frozenset({'O43463', 'IL5', 'P24385'})"
"frozenset({'Q15124', 'P00441', 'IL5'})"
"frozenset({'P51149', 'IL5', 'Q13404'})"
"frozenset({'P05067', 'IL5', 'O60285'})"
"frozenset({'IL5', 'P10828', 'Q9BZK7'})"
"frozenset({'IL5', 'O95297', 'Q9NQX4'})"
"frozenset({'Q9H8W4', 'IL5', 'P55789'})"
"frozenset({'Q9UGI0', 'Q8IZW8', 'IL5'})"
"frozenset({'IL5', 'Q9UKN8', 'P06865'})"
"frozenset({'Q8TAA3', 'IL5', 'P25787'})"
"frozenset({'IL5', 'P42345', 'Q86TB9'})"
"frozenset({'IL5', 'P49848', 'Q04206'})"
"frozenset({'P42704', 'Q9NVX0', 'IL5'})"
"frozenset({'Q9C0C9', 'IL5', 'Q12933'})"
"frozenset({'IL5', 'P41223', 'Q9NRD5'})"
"frozenset({'IL5', 'Q8TAQ2', 'P62993'})"
"frozenset({'Q9Y3A4', 'IL5', 'Q9UQM7'})"
"frozenset({'Q14676', 'IL5', 'Q16637'})"
"frozenset({'Q15672', 'IL5', 'O60885'})"
"frozenset({'P49841', 'Q08752', 'IL5'})"
"frozenset({'IL5', 'Q08043', 'P49023'})"
"frozenset({'IL5', 'O75147', 'Q13263'})"
"frozenset({'Q96RS0', 'IL5', 'Q15019'})"
"frozenset({'P36956', 'IL5', 'Q13887'})"
"frozenset({'IL5', 'Q8NDX5', 'Q99496'})"
"frozenset({'O60308', 'IL5', 'Q15058'})"
"frozenset({'P25963', 'IL5', 'P07384'})"
"frozenset({'O43597', 'IL5', 'P07942'})"
"frozenset({'Q96RF0', 'IL5', 'Q9BRK4'})"
"frozenset({'Q01196', 'IL5', 'P60568'})"
"frozenset({'Q6VMQ6', 'Q9Y692', 'IL5'})"
"frozenset({'P57678', 'IL5', 'Q9Y6X2'})"
"frozenset({'IL5', 'P01903', 'P08962'})"
"frozenset({'Q9H0R8', 'IL5', 'Q16527'})"
"frozenset({'Q8TDM6', 'IL5', 'Q6ZU80'})"
"frozenset({'IL5', 'Q8TAP6', 'Q96JC9'})"
"frozenset({'IL5', 'Q86XR8', 'P62263'})"
"frozenset({'Q3SY00', 'IL5', 'Q68D86'})"
"frozenset({'Q9BXI9', 'O43765', 'IL5'})"
"frozenset({'Q9UKW4', 'Q06124', 'IL5'})"
"frozenset({'Q6ZUM4', 'IL5', 'P62745'})"
"frozenset({'Q7Z6Z7', 'P22695', 'IL5'})"
"frozenset({'Q00839', 'Q12933', 'IL5'})"
"frozenset({'Q12965', 'IL5', 'Q15691'})"
"frozenset({'IL5', 'P27635', 'P62841'})"
"frozenset({'IL5', 'P52630', 'Q8WXH5'})"
"frozenset({'P46782', 'P62987', 'IL5'})"
"frozenset({'P11172', 'IL5', 'P18669'})"
"frozenset({'P24723', 'IL5', 'Q16625'})"
"frozenset({'Q9NYV4', 'IL5', 'P01106'})"
"frozenset({'IL5', 'P61201', 'Q8NA75'})"
"frozenset({'IL5', 'O15160', 'P31146'})"
"frozenset({'P17612', 'Q9H2C8', 'IL5'})"
"frozenset({'Q99550', 'Q49A88', 'IL5'})"
"frozenset({'P05106', 'IL5', 'P23229'})"
"frozenset({'P16234', 'IL5', 'P05014'})"
"frozenset({'P32121', 'IL5', 'P68400'})"
"frozenset({'P49841', 'IL5', 'Q16584'})"
"frozenset({'Q9Y3I1', 'IL5', 'P61289'})"
"frozenset({'P51828', 'IL5', 'P04899'})"
"frozenset({'Q13049', 'IL5', 'Q04917'})"
"frozenset({'O43609', 'IL5', 'Q5TD97'})"
"frozenset({'IL5', 'Q9H2G4', 'P38432'})"
"frozenset({'IL5', 'Q9BT78', 'P68400'})"
"frozenset({'P55210', 'Q92851', 'IL5'})"
"frozenset({'IL5', 'P24928', 'P53803'})"
"frozenset({'Q6ISU1', 'O94966', 'IL5'})"
"frozenset({'Q99714', 'IL5', 'Q93034'})"
"frozenset({'O43463', 'IL5', 'Q96I34'})"
"frozenset({'P63267', 'IL5', 'P20929'})"
"frozenset({'P10321', 'IL5', 'P30511'})"
"frozenset({'Q03135', 'IL5', 'Q15257'})"
"frozenset({'Q96HB5', 'A1L4K1', 'IL5'})"
"frozenset({'IL5', 'P10275', 'O75448'})"
"frozenset({'O75964', 'IL5', 'P30049'})"
"frozenset({'IL5', 'Q05209', 'Q99717'})"
"frozenset({'O00755', 'IL5', 'Q5T4F7'})"
"frozenset({'IL5', 'Q13156', 'P23025'})"
"frozenset({'O43765', 'Q8WWY7', 'IL5'})"
"frozenset({'P31749', 'IL5', 'P13645'})"
"frozenset({'Q9NV31', 'Q6P597', 'IL5'})"
"frozenset({'Q92560', 'IL5', 'P62837'})"
"frozenset({'IL5', 'O75340', 'Q70UQ0'})"
"frozenset({'Q13490', 'IL5', 'Q92844'})"
"frozenset({'IL5', 'Q9BWT7', 'Q9HCK0'})"
"frozenset({'O60477', 'P07910', 'IL5'})"
"frozenset({'O75344', 'IL5', 'Q7L3B6'})"
"frozenset({'P07900', 'Q6Y7W6', 'IL5'})"
"frozenset({'IL5', 'Q9NPB6', 'P15153'})"
"frozenset({'IL5', 'Q9UKG1', 'Q86X19'})"
"frozenset({'Q9UM73', 'P40763', 'IL5'})"
"frozenset({'Q9BYE3', 'IL5', 'Q5TA81'})"
"frozenset({'P38646', 'P16152', 'IL5'})"
"frozenset({'Q9Y624', 'Q05513', 'IL5'})"
"frozenset({'IL5', 'Q8NDX9', 'Q86XR8'})"
"frozenset({'Q9NVI1', 'IL5', 'Q01860'})"
"frozenset({'IL5', 'Q15185', 'P07332'})"
"frozenset({'Q9NYV4', 'IL5', 'Q9Y5B9'})"
"frozenset({'IL5', 'P42684', 'P46934'})"
"frozenset({'P68032', 'IL5', 'P35080'})"
"frozenset({'IL5', 'P00338', 'P32119'})"
"frozenset({'IL5', 'P56524', 'Q99880'})"
"frozenset({'P82980', 'IL5', 'Q92796'})"
"frozenset({'Q14146', 'IL5', 'Q9NRC8'})"
"frozenset({'Q9BPX3', 'IL5', 'Q13573'})"
"frozenset({'IL5', 'Q96GG9', 'P19338'})"
"frozenset({'IL5', 'P06748', 'O14646'})"
"frozenset({'IL5', 'Q8TEY5', 'Q14697'})"
"frozenset({'O15496', 'IL5', 'Q8WU58'})"
"frozenset({'IL5', 'O60262', 'Q8NGM1'})"
"frozenset({'IL5', 'P10276', 'O75928'})"
"frozenset({'P33316', 'IL5', 'Q9UFG5'})"
"frozenset({'Q96NL6', 'IL5', 'O75506'})"
"frozenset({'Q9HCU5', 'Q5HYA8', 'IL5'})"
"frozenset({'Q15022', 'IL5', 'Q9BYE4'})"
"frozenset({'P01570', 'Q01113', 'IL5'})"
"frozenset({'O14965', 'Q02750', 'IL5'})"
"frozenset({'P54253', 'IL5', 'Q96LI6'})"
"frozenset({'Q8NAP1', 'Q7Z494', 'IL5'})"
"frozenset({'P20226', 'IL5', 'Q9UNN4'})"
"frozenset({'Q8NBT0', 'IL5', 'P50990'})"
"frozenset({'Q9NQG5', 'P59998', 'IL5'})"
"frozenset({'IL5', 'Q92913', 'P21802'})"
"frozenset({'Q969W9', 'IL5', 'Q86VP6'})"
"frozenset({'IL5', 'Q96T60', 'P15927'})"
"frozenset({'P61586', 'IL5', 'P34897'})"
"frozenset({'Q9NPC3', 'IL5', 'Q9BSW7'})"
"frozenset({'IL5', 'Q8TEW0', 'O60739'})"
"frozenset({'IL5', 'Q08211', 'P38159'})"
"frozenset({'P62714', 'IL5', 'Q9Y375'})"
"frozenset({'O43399', 'Q9Y3C4', 'IL5'})"
"frozenset({'P03372', 'IL5', 'Q02413'})"
"frozenset({'Q9UL45', 'IL5', 'Q9UJ41'})"
"frozenset({'IL5', 'Q9HBW0', 'Q9UBI6'})"
"frozenset({'Q9Y6K9', 'IL5', 'Q04759'})"
"frozenset({'P29590', 'IL5', 'P42858'})"
"frozenset({'IL5', 'Q9BQ89', 'Q5TCZ1'})"
"frozenset({'IL5', 'Q00887', 'Q93073'})"
"frozenset({'IL5', 'Q9NRC8', 'Q9GZR2'})"
"frozenset({'P27105', 'Q8TCG1', 'IL5'})"
"frozenset({'Q14566', 'P04792', 'IL5'})"
"frozenset({'P15531', 'IL5', 'P21980'})"
"frozenset({'Q13315', 'IL5', 'Q8N573'})"
"frozenset({'IL5', 'Q15910', 'Q14498'})"
"frozenset({'IL5', 'Q96CA5', 'Q63ZY3'})"
"frozenset({'IL5', 'Q63HR2', 'Q8TDR4'})"
"frozenset({'Q9ULK4', 'IL5', 'Q96AY4'})"
"frozenset({'P26641', 'Q9Y3C7', 'IL5'})"
"frozenset({'Q15717', 'IL5', 'O43248'})"
"frozenset({'Q9UMR2', 'IL5', 'O00204'})"
"frozenset({'IL5', 'P25705', 'P21796'})"
"frozenset({'IL5', 'P08123', 'P43235'})"
"frozenset({'O43396', 'IL5', 'P25786'})"
"frozenset({'IL5', 'P43360', 'Q8TAB5'})"
"frozenset({'O14519', 'IL5', 'Q9P2Y4'})"
"frozenset({'P61218', 'Q9Y250', 'IL5'})"
"frozenset({'IL5', 'P56545', 'P09067'})"
"frozenset({'Q9NZJ5', 'IL5', 'Q15653'})"
"frozenset({'Q6UXN9', 'IL5', 'P55072'})"
"frozenset({'Q13370', 'IL5', 'P31751'})"
"frozenset({'P63096', 'IL5', 'P19235'})"
"frozenset({'Q9NZM3', 'IL5', 'Q9P287'})"
"frozenset({'Q8TCQ1', 'IL5', 'P49427'})"
"frozenset({'IL5', 'Q15583', 'O15519'})"
"frozenset({'IL5', 'P35244', 'Q12907'})"
"frozenset({'P29274', 'IL5', 'Q08043'})"
"frozenset({'IL5', 'P28068', 'P20963'})"
"frozenset({'P63000', 'P19838', 'IL5'})"
"frozenset({'IL5', 'Q5JTC6', 'P78362'})"
"frozenset({'P49736', 'IL5', 'P23396'})"
"frozenset({'P05387', 'IL5', 'P62244'})"
"frozenset({'Q8IVW4', 'IL5', 'A8MQ03'})"
"frozenset({'Q96AP7', 'IL5', 'P56747'})"
"frozenset({'IL5', 'O60447', 'Q8WWY3'})"
"frozenset({'IL5', 'Q92917', 'Q5JST6'})"
"frozenset({'O95989', 'IL5', 'Q6RFH5'})"
"frozenset({'IL5', 'P42574', 'O75159'})"
"frozenset({'Q9NVI1', 'IL5', 'Q9Y2Q3'})"
