negatives
"frozenset({'IL5', 'O00303', 'P47224'})"
"frozenset({'P48730', 'IL5', 'Q04917'})"
"frozenset({'Q96G25', 'IL5', 'Q01844'})"
"frozenset({'IL5', 'Q9Y4K3', 'Q15008'})"
"frozenset({'IL5', 'Q99442', 'P14635'})"
"frozenset({'P25205', 'IL5', 'Q9BRT9'})"
"frozenset({'IL5', 'Q9Y281', 'P22392'})"
"frozenset({'Q9H8Y5', 'IL5', 'Q9GZP1'})"
"frozenset({'IL5', 'P63098', 'Q9NZT1'})"
"frozenset({'IL5', 'Q13952', 'P14635'})"
"frozenset({'Q969Q1', 'IL5', 'Q9BYV6'})"
"frozenset({'P58340', 'IL5', 'Q86UP8'})"
"frozenset({'P30050', 'P68104', 'IL5'})"
"frozenset({'IL5', 'Q9H0B6', 'Q9BRA0'})"
"frozenset({'IL5', 'P42226', 'Q9Y6Q9'})"
"frozenset({'Q9H237', 'IL5', 'Q93098'})"
"frozenset({'P41235', 'IL5', 'O43915'})"
"frozenset({'Q9ULB1', 'O43166', 'IL5'})"
"frozenset({'Q8N201', 'IL5', 'Q96HW7'})"
"frozenset({'Q9UM22', 'IL5', 'P35240'})"
"frozenset({'Q9Y696', 'IL5', 'Q99436'})"
"frozenset({'IL5', 'P16220', 'O60264'})"
"frozenset({'P11441', 'IL5', 'Q86XA0'})"
"frozenset({'P03372', 'Q9Y4L1', 'IL5'})"
"frozenset({'Q9BZM1', 'IL5', 'O14641'})"
"frozenset({'IL5', 'P23458', 'Q9HC35'})"
"frozenset({'IL5', 'Q9BQ89', 'Q00536'})"
"frozenset({'IL5', 'Q9BQG0', 'Q04206'})"
"frozenset({'Q9Y6D9', 'IL5', 'Q9P0K8'})"
"frozenset({'Q969G2', 'IL5', 'Q6ZN55'})"
"frozenset({'IL5', 'P01568', 'P14784'})"
"frozenset({'Q9UM13', 'IL5', 'Q15542'})"
"frozenset({'P31749', 'Q16763', 'IL5'})"
"frozenset({'P10415', 'IL5', 'Q14318'})"
"frozenset({'P09651', 'IL5', 'P27824'})"
"frozenset({'P42892', 'IL5', 'A8MQ03'})"
"frozenset({'P05412', 'P61163', 'IL5'})"
"frozenset({'P67870', 'IL5', 'Q02543'})"
"frozenset({'IL5', 'Q86TI0', 'P54646'})"
"frozenset({'P08183', 'Q8NCQ5', 'IL5'})"
"frozenset({'P42336', 'IL5', 'P19174'})"
"frozenset({'Q9NVR5', 'IL5', 'Q16623'})"
"frozenset({'IL5', 'P61160', 'P22694'})"
"frozenset({'P27694', 'Q13813', 'IL5'})"
"frozenset({'IL5', 'P20823', 'Q9HBY8'})"
"frozenset({'Q9NQT8', 'IL5', 'Q15678'})"
"frozenset({'Q9Y250', 'IL5', 'Q96E35'})"
"frozenset({'Q8NH41', 'IL5', 'O60262'})"
"frozenset({'IL5', 'Q9NQ39', 'P18621'})"
"frozenset({'P46777', 'IL5', 'Q13610'})"
"frozenset({'IL5', 'Q9P2P5', 'Q96C00'})"
"frozenset({'IL5', 'P41214', 'Q9GZX7'})"
"frozenset({'IL5', 'Q9UBB9', 'P25815'})"
"frozenset({'IL5', 'Q24JP5', 'Q8TBA6'})"
"frozenset({'Q52LR7', 'IL5', 'Q6VAB6'})"
"frozenset({'P50552', 'IL5', 'Q9NYB9'})"
"frozenset({'IL5', 'P55072', 'P12814'})"
"frozenset({'Q15648', 'IL5', 'Q6IN85'})"
"frozenset({'Q7Z2G1', 'Q93077', 'IL5'})"
"frozenset({'Q9UL46', 'IL5', 'Q15008'})"
"frozenset({'IL5', 'Q9BQG0', 'Q9NY93'})"
"frozenset({'P00492', 'Q13618', 'IL5'})"
"frozenset({'P09104', 'IL5', 'Q9H492'})"
"frozenset({'Q9BZL3', 'IL5', 'Q96F15'})"
"frozenset({'P62258', 'IL5', 'Q02224'})"
"frozenset({'O75530', 'IL5', 'P26196'})"
"frozenset({'O43488', 'IL5', 'Q6PD62'})"
"frozenset({'IL5', 'P49407', 'Q9Y585'})"
"frozenset({'P13611', 'IL5', 'P80075'})"
"frozenset({'P08047', 'IL5', 'Q9UBL3'})"
"frozenset({'O95199', 'IL5', 'O00459'})"
"frozenset({'Q8IWL3', 'IL5', 'O00148'})"
"frozenset({'Q13423', 'IL5', 'Q9C002'})"
"frozenset({'Q9ULM3', 'IL5', 'Q01860'})"
"frozenset({'IL5', 'Q14974', 'Q5S007'})"
"frozenset({'Q08830', 'Q9UFN0', 'IL5'})"
"frozenset({'Q04864', 'Q96H72', 'IL5'})"
"frozenset({'O60287', 'IL5', 'P50914'})"
"frozenset({'P38398', 'Q99728', 'IL5'})"
"frozenset({'Q08499', 'Q9UPX8', 'IL5'})"
"frozenset({'Q9NQW7', 'IL5', 'Q14181'})"
"frozenset({'Q9Y3M2', 'IL5', 'Q9NSK0'})"
"frozenset({'IL5', 'O94776', 'Q13535'})"
"frozenset({'Q9Y2X8', 'IL5', 'P14373'})"
"frozenset({'Q14209', 'Q14566', 'IL5'})"
"frozenset({'Q96I99', 'P09622', 'IL5'})"
"frozenset({'O75643', 'Q99728', 'IL5'})"
"frozenset({'IL5', 'Q86V81', 'P02751'})"
"frozenset({'P07288', 'IL5', 'Q9Y3R0'})"
"frozenset({'Q92731', 'IL5', 'Q15653'})"
"frozenset({'IL5', 'Q8WUM0', 'P49454'})"
"frozenset({'P32121', 'Q9H361', 'IL5'})"
"frozenset({'IL5', 'P30305', 'P62258'})"
"frozenset({'P18077', 'IL5', 'P26373'})"
"frozenset({'Q9NXW9', 'Q9GZT8', 'IL5'})"
"frozenset({'IL5', 'Q68CZ1', 'Q9UGP8'})"
"frozenset({'IL5', 'Q9H6D7', 'Q8NA72'})"
"frozenset({'Q15645', 'Q13444', 'IL5'})"
"frozenset({'Q6GYQ0', 'IL5', 'Q96CW1'})"
"frozenset({'Q6P087', 'IL5', 'Q07627'})"
"frozenset({'P27986', 'IL5', 'Q9HC35'})"
"frozenset({'B5MCY1', 'IL5', 'P05388'})"
"frozenset({'Q70SY1', 'IL5', 'P15336'})"
"frozenset({'IL5', 'Q9Y3E0', 'Q6NUS6'})"
"frozenset({'Q7Z794', 'IL5', 'Q15323'})"
"frozenset({'P99999', 'IL5', 'Q15424'})"
"frozenset({'IL5', 'P06239', 'P42768'})"
"frozenset({'IL5', 'O75382', 'Q8NHQ1'})"
"frozenset({'O96013', 'IL5', 'Q86YP4'})"
"frozenset({'O95425', 'P08670', 'IL5'})"
"frozenset({'Q96PE3', 'IL5', 'P07384'})"
