negatives
"frozenset({'P10599', 'IL1', 'P38936'})"
"frozenset({'IL1', 'P15509', 'P40933'})"
"frozenset({'IL1', 'Q63HN8', 'Q9H2C0'})"
"frozenset({'IL1', 'P34947', 'Q5H9R7'})"
"frozenset({'IL1', 'P04141', 'P17947'})"
"frozenset({'Q3LI70', 'IL1', 'A8MQ03'})"
"frozenset({'P05089', 'IL1', 'P04629'})"
"frozenset({'P40425', 'IL1', 'P31274'})"
"frozenset({'IL1', 'Q9Y2S7', 'Q15750'})"
"frozenset({'P60369', 'IL1', 'P69891'})"
"frozenset({'IL1', 'O95229', 'Q92841'})"
"frozenset({'P25685', 'Q00987', 'IL1'})"
"frozenset({'P30281', 'IL1', 'Q00526'})"
"frozenset({'Q7Z5K2', 'IL1', 'P04629'})"
"frozenset({'IL1', 'O75420', 'Q8NEY1'})"
"frozenset({'Q13765', 'IL1', 'P61011'})"
"frozenset({'Q9NRC8', 'IL1', 'P84103'})"
"frozenset({'Q14204', 'Q8IWL3', 'IL1'})"
"frozenset({'P51532', 'P14625', 'IL1'})"
"frozenset({'Q7Z6J8', 'IL1', 'P61421'})"
"frozenset({'IL1', 'Q9BV73', 'Q96JB2'})"
"frozenset({'IL1', 'Q13263', 'P14635'})"
"frozenset({'Q9BYV2', 'IL1', 'Q9BQ89'})"
"frozenset({'Q9UBU9', 'IL1', 'Q92973'})"
"frozenset({'P63279', 'IL1', 'P54132'})"
"frozenset({'IL1', 'Q9GZM8', 'Q6AZY7'})"
"frozenset({'O43474', 'IL1', 'Q12778'})"
"frozenset({'IL1', 'P60410', 'O43741'})"
"frozenset({'P62979', 'IL1', 'P16104'})"
"frozenset({'IL1', 'Q9NWS0', 'Q9NXB0'})"
"frozenset({'IL1', 'P06239', 'Q9Y3P8'})"
"frozenset({'IL1', 'P36404', 'Q14738'})"
"frozenset({'Q13480', 'IL1', 'Q8WV28'})"
"frozenset({'IL1', 'P59991', 'Q5T7P2'})"
"frozenset({'IL1', 'P52564', 'O95382'})"
"frozenset({'IL1', 'P15927', 'P04406'})"
"frozenset({'P13804', 'IL1', 'Q96I99'})"
"frozenset({'IL1', 'P21860', 'P49411'})"
"frozenset({'Q9Y5K5', 'IL1', 'O43707'})"
"frozenset({'IL1', 'Q14137', 'Q9Y266'})"
"frozenset({'Q9GZP9', 'IL1', 'Q9BSJ8'})"
"frozenset({'O60231', 'IL1', 'P58012'})"
"frozenset({'IL1', 'P51946', 'O60232'})"
"frozenset({'Q92900', 'P03372', 'IL1'})"
"frozenset({'IL1', 'O00567', 'P46777'})"
"frozenset({'IL1', 'Q14CZ7', 'P60709'})"
"frozenset({'P34925', 'IL1', 'Q5SZK8'})"
"frozenset({'IL1', 'Q15365', 'P09651'})"
"frozenset({'Q15527', 'IL1', 'Q8TAT6'})"
"frozenset({'IL1', 'P34741', 'P05771'})"
"frozenset({'Q9BZE1', 'IL1', 'Q9H0U6'})"
"frozenset({'Q92900', 'IL1', 'Q92597'})"
"frozenset({'Q92569', 'IL1', 'P02675'})"
"frozenset({'P11216', 'IL1', 'P06748'})"
"frozenset({'IL1', 'Q9P2W3', 'Q5JQS5'})"
"frozenset({'P05162', 'IL1', 'Q7Z569'})"
"frozenset({'IL1', 'Q06124', 'P02730'})"
"frozenset({'IL1', 'O00602', 'P15502'})"
"frozenset({'IL1', 'Q05397', 'Q9H6S3'})"
"frozenset({'IL1', 'P08069', 'P41240'})"
"frozenset({'Q969G3', 'IL1', 'Q92925'})"
"frozenset({'IL1', 'Q15262', 'Q9UBS3'})"
"frozenset({'Q02880', 'IL1', 'P23246'})"
"frozenset({'P50281', 'IL1', 'P08253'})"
"frozenset({'Q8NHY2', 'IL1', 'Q96FS4'})"
"frozenset({'IL1', 'Q96ST8', 'Q8N5C6'})"
"frozenset({'IL1', 'O60830', 'Q9BYC8'})"
"frozenset({'Q93034', 'Q8TBC4', 'IL1'})"
"frozenset({'Q9H1Y0', 'IL1', 'P36543'})"
"frozenset({'IL1', 'Q9Y6X9', 'P62807'})"
"frozenset({'IL1', 'O14802', 'P04629'})"
"frozenset({'P55072', 'IL1', 'Q13617'})"
"frozenset({'IL1', 'Q32P51', 'Q15058'})"
"frozenset({'IL1', 'P11717', 'P54253'})"
"frozenset({'P00966', 'IL1', 'Q9H8T0'})"
"frozenset({'Q9Y3M2', 'Q5TCX8', 'IL1'})"
"frozenset({'P78334', 'IL1', 'Q15005'})"
"frozenset({'Q9H2G4', 'IL1', 'P14635'})"
"frozenset({'IL1', 'Q13616', 'Q92804'})"
"frozenset({'Q00325', 'IL1', 'P57078'})"
"frozenset({'IL1', 'Q08828', 'P62873'})"
"frozenset({'Q02809', 'IL1', 'Q6NUS6'})"
