negatives
"frozenset({'P51970', 'Alpha6Beta4Integrin', 'P45880'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q8NGE3'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'Q15019'})"
"frozenset({'O94888', 'Alpha6Beta4Integrin', 'Q15370'})"
"frozenset({'Q9C0C7', 'Alpha6Beta4Integrin', 'Q16531'})"
"frozenset({'P83731', 'Alpha6Beta4Integrin', 'P19320'})"
"frozenset({'P62081', 'Q9UQ35', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16695', 'Alpha6Beta4Integrin', 'Q969P0'})"
"frozenset({'O60573', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'P51178', 'Q6K0P9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NI28', 'Q99459'})"
"frozenset({'P56282', 'Alpha6Beta4Integrin', 'Q9NRF9'})"
"frozenset({'P62081', 'P63104', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14249', 'O95831'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNH5', 'Q99741'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBP5', 'P0C2W1'})"
"frozenset({'Q1KMD3', 'Alpha6Beta4Integrin', 'Q07020'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14790', 'Q13546'})"
"frozenset({'O75663', 'Alpha6Beta4Integrin', 'Q9BR76'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UKV8', 'P07814'})"
"frozenset({'Alpha6Beta4Integrin', 'P04264', 'P19957'})"
"frozenset({'Q16576', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04864', 'P49366'})"
"frozenset({'Alpha6Beta4Integrin', 'P12081', 'Q15004'})"
"frozenset({'Alpha6Beta4Integrin', 'P62280', 'P05412'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04721', 'P49768'})"
"frozenset({'Alpha6Beta4Integrin', 'O60637', 'Q9BTU6'})"
"frozenset({'Alpha6Beta4Integrin', 'P68402', 'P49368'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y5P4', 'P78368'})"
"frozenset({'Q06830', 'Q96EP5', 'Alpha6Beta4Integrin'})"
"frozenset({'O43761', 'Alpha6Beta4Integrin', 'Q14653'})"
"frozenset({'Q92520', 'Alpha6Beta4Integrin', 'O00161'})"
"frozenset({'Q86Z20', 'Alpha6Beta4Integrin', 'Q3KQV3'})"
"frozenset({'Q8N7P3', 'Alpha6Beta4Integrin', 'A6NM45'})"
"frozenset({'Alpha6Beta4Integrin', 'O95678', 'Q9NX04'})"
"frozenset({'Q9UKB1', 'Alpha6Beta4Integrin', 'P33991'})"
"frozenset({'Q96T76', 'Alpha6Beta4Integrin', 'O95104'})"
"frozenset({'Q9ULC5', 'Q5S007', 'Alpha6Beta4Integrin'})"
"frozenset({'P49736', 'Alpha6Beta4Integrin', 'P11217'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92625', 'P61981'})"
"frozenset({'Q8N4U5', 'Alpha6Beta4Integrin', 'Q9NY65'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NHY2', 'Q16531'})"
"frozenset({'Alpha6Beta4Integrin', 'O60506', 'Q9Y2Q9'})"
"frozenset({'Alpha6Beta4Integrin', 'P01236', 'Q6UWB1'})"
"frozenset({'P04792', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UPM8', 'Q9Y587'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UMX0', 'P04629'})"
"frozenset({'P60660', 'P60709', 'Alpha6Beta4Integrin'})"
"frozenset({'O14775', 'Alpha6Beta4Integrin', 'P20073'})"
"frozenset({'Q99538', 'Alpha6Beta4Integrin', 'Q0WX57'})"
"frozenset({'Alpha6Beta4Integrin', 'P60510', 'Q14204'})"
"frozenset({'Q16891', 'Q01780', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H0R8', 'P30050'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IZ40', 'P36575'})"
"frozenset({'Alpha6Beta4Integrin', 'P25685', 'Q9Y2H9'})"
"frozenset({'Q5R372', 'Q9NNX1', 'Alpha6Beta4Integrin'})"
"frozenset({'P22695', 'Alpha6Beta4Integrin', 'Q14697'})"
"frozenset({'P04899', 'Alpha6Beta4Integrin', 'P50150'})"
"frozenset({'Q71U36', 'P21281', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TDD1', 'Alpha6Beta4Integrin', 'Q86Z02'})"
"frozenset({'P51970', 'Alpha6Beta4Integrin', 'O14561'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15573', 'Q6ZUT1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96AP7', 'A6NM45'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NSK0', 'Q9Y664'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00653', 'Q12929'})"
"frozenset({'Alpha6Beta4Integrin', 'P52292', 'Q13573'})"
"frozenset({'P40763', 'Alpha6Beta4Integrin', 'P55268'})"
"frozenset({'Alpha6Beta4Integrin', 'P60953', 'P37173'})"
"frozenset({'Q9BRK4', 'Alpha6Beta4Integrin', 'P25800'})"
"frozenset({'P84996', 'Alpha6Beta4Integrin', 'Q6IAA8'})"
"frozenset({'Q13064', 'Alpha6Beta4Integrin', 'P62256'})"
"frozenset({'O95989', 'Alpha6Beta4Integrin', 'P45378'})"
"frozenset({'P51116', 'Alpha6Beta4Integrin', 'A7MCY6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96S06', 'Q9UN42'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92900', 'Q9NRC8'})"
"frozenset({'Alpha6Beta4Integrin', 'O75533', 'P62136'})"
"frozenset({'Q96GG9', 'Alpha6Beta4Integrin', 'Q9UK73'})"
"frozenset({'Q9P0V3', 'Alpha6Beta4Integrin', 'O75420'})"
"frozenset({'P55957', 'Alpha6Beta4Integrin', 'Q5RL73'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y3A5', 'Q96JM3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UPT8', 'Q99496'})"
"frozenset({'P06400', 'Alpha6Beta4Integrin', 'P05771'})"
"frozenset({'Q14627', 'Alpha6Beta4Integrin', 'P01588'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86YV0', 'P01116'})"
"frozenset({'Q9H5J0', 'Alpha6Beta4Integrin', 'O95817'})"
"frozenset({'Q5W0Q7', 'Alpha6Beta4Integrin', 'P46060'})"
"frozenset({'Alpha6Beta4Integrin', 'P62873', 'Q8NGY6'})"
"frozenset({'O60884', 'Alpha6Beta4Integrin', 'P08238'})"
"frozenset({'Q9H0W9', 'Alpha6Beta4Integrin', 'Q9Y2D8'})"
"frozenset({'Alpha6Beta4Integrin', 'O75569', 'Q9Y3I1'})"
"frozenset({'Q96BD8', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Alpha6Beta4Integrin', 'P52701', 'Q14683'})"
"frozenset({'Q15544', 'Alpha6Beta4Integrin', 'P29083'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13501', 'P19784'})"
"frozenset({'Alpha6Beta4Integrin', 'O14867', 'Q92547'})"
"frozenset({'Alpha6Beta4Integrin', 'P62333', 'Q16543'})"
"frozenset({'P05388', 'P84022', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H596', 'Alpha6Beta4Integrin', 'Q14697'})"
"frozenset({'P24522', 'Alpha6Beta4Integrin', 'Q12778'})"
"frozenset({'Q8N5S1', 'Alpha6Beta4Integrin', 'P55081'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12884', 'Q03405'})"
"frozenset({'O14964', 'Alpha6Beta4Integrin', 'Q9UN37'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BV73', 'P26373'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N3R9', 'Q9NZC7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NZM3', 'P38159'})"
"frozenset({'Q9NP66', 'Alpha6Beta4Integrin', 'Q4V328'})"
"frozenset({'O15260', 'Alpha6Beta4Integrin', 'Q13243'})"
"frozenset({'Alpha6Beta4Integrin', 'P05412', 'Q92845'})"
"frozenset({'Q99523', 'P51659', 'Alpha6Beta4Integrin'})"
"frozenset({'P21281', 'Q9H0H0', 'Alpha6Beta4Integrin'})"
"frozenset({'P17948', 'Alpha6Beta4Integrin', 'Q12913'})"
"frozenset({'Alpha6Beta4Integrin', 'P04439', 'Q03518'})"
"frozenset({'Q99623', 'Alpha6Beta4Integrin', 'P52294'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NU22', 'Q14457'})"
"frozenset({'Q9BVG8', 'Alpha6Beta4Integrin', 'P62508'})"
"frozenset({'Q93034', 'Alpha6Beta4Integrin', 'O95831'})"
"frozenset({'Alpha6Beta4Integrin', 'P43627', 'P30505'})"
"frozenset({'Q16181', 'Alpha6Beta4Integrin', 'Q92733'})"
"frozenset({'P14598', 'P45984', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16670', 'O00159', 'Alpha6Beta4Integrin'})"
"frozenset({'P34947', 'Alpha6Beta4Integrin', 'Q13459'})"
"frozenset({'Q15637', 'Alpha6Beta4Integrin', 'Q9UKV3'})"
"frozenset({'P41235', 'Alpha6Beta4Integrin', 'Q13131'})"
"frozenset({'Q92765', 'Alpha6Beta4Integrin', 'Q9NPG1'})"
"frozenset({'Alpha6Beta4Integrin', 'P98164', 'Q12959'})"
"frozenset({'Alpha6Beta4Integrin', 'O76021', 'O75530'})"
"frozenset({'Q9Y224', 'Q9BVC5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q49A26', 'Q99496'})"
"frozenset({'P08631', 'Alpha6Beta4Integrin', 'Q15393'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96KG9', 'Q9NPY3'})"
"frozenset({'O15131', 'Alpha6Beta4Integrin', 'Q14974'})"
"frozenset({'Q6XE24', 'Alpha6Beta4Integrin', 'Q9NQ50'})"
"frozenset({'Q15417', 'Alpha6Beta4Integrin', 'Q504Q3'})"
"frozenset({'P62993', 'P98077', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P08581', 'Q06187'})"
"frozenset({'O95182', 'Alpha6Beta4Integrin', 'O43920'})"
"frozenset({'P62081', 'Alpha6Beta4Integrin', 'O43291'})"
"frozenset({'Q9HC52', 'Alpha6Beta4Integrin', 'Q9NRD5'})"
"frozenset({'Alpha6Beta4Integrin', 'P00533', 'Q99608'})"
"frozenset({'P56282', 'Alpha6Beta4Integrin', 'O43291'})"
"frozenset({'P62917', 'Alpha6Beta4Integrin', 'P62910'})"
"frozenset({'Q99683', 'Alpha6Beta4Integrin', 'P35998'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H078', 'O15198'})"
"frozenset({'Q96F07', 'Alpha6Beta4Integrin', 'O14776'})"
"frozenset({'Q9UKT9', 'Alpha6Beta4Integrin', 'Q9NU19'})"
"frozenset({'Q92793', 'Alpha6Beta4Integrin', 'Q9UBE8'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'P16455'})"
"frozenset({'P31994', 'Alpha6Beta4Integrin', 'Q8NHL6'})"
"frozenset({'Q96GM5', 'Alpha6Beta4Integrin', 'P08779'})"
"frozenset({'P13232', 'P26992', 'Alpha6Beta4Integrin'})"
"frozenset({'P10276', 'Alpha6Beta4Integrin', 'P30281'})"
"frozenset({'O75533', 'Alpha6Beta4Integrin', 'P48681'})"
"frozenset({'Q6UXN9', 'Alpha6Beta4Integrin', 'O95639'})"
"frozenset({'Alpha6Beta4Integrin', 'Q504Q3', 'Q9NZI8'})"
"frozenset({'Alpha6Beta4Integrin', 'P63167', 'Q8NA92'})"
"frozenset({'Alpha6Beta4Integrin', 'P40879', 'Q13315'})"
"frozenset({'Q9Y6H1', 'P42858', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y508', 'Q96B02'})"
"frozenset({'Q02750', 'P25054', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O95817', 'Q92567'})"
"frozenset({'P28070', 'Alpha6Beta4Integrin', 'Q15797'})"
"frozenset({'P05026', 'Alpha6Beta4Integrin', 'P22612'})"
"frozenset({'O43290', 'Alpha6Beta4Integrin', 'Q8IZD2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13618', 'O60506'})"
"frozenset({'P06753', 'Alpha6Beta4Integrin', 'Q8N0S2'})"
"frozenset({'Alpha6Beta4Integrin', 'P30533', 'P98155'})"
"frozenset({'Q96LD4', 'Alpha6Beta4Integrin', 'O14974'})"
"frozenset({'Q16204', 'P60510', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UGP5', 'Alpha6Beta4Integrin', 'Q12800'})"
"frozenset({'Q02543', 'Alpha6Beta4Integrin', 'P62263'})"
"frozenset({'P42338', 'Alpha6Beta4Integrin', 'P37173'})"
"frozenset({'Q92688', 'Alpha6Beta4Integrin', 'Q969H0'})"
"frozenset({'O15516', 'Q14161', 'Alpha6Beta4Integrin'})"
"frozenset({'P51148', 'Q14999', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BZ29', 'Alpha6Beta4Integrin', 'P20929'})"
"frozenset({'Alpha6Beta4Integrin', 'P11142', 'P78527'})"
"frozenset({'Q86UU9', 'Alpha6Beta4Integrin', 'P25103'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WUQ7', 'Q14562'})"
"frozenset({'P55072', 'Alpha6Beta4Integrin', 'P28482'})"
"frozenset({'O95251', 'Alpha6Beta4Integrin', 'Q13137'})"
"frozenset({'Q9Y467', 'Alpha6Beta4Integrin', 'P48431'})"
"frozenset({'P21675', 'Q5VWG9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99623', 'Alpha6Beta4Integrin', 'P33992'})"
"frozenset({'Q5JWF2', 'Alpha6Beta4Integrin', 'P59768'})"
"frozenset({'P22695', 'Alpha6Beta4Integrin', 'P55084'})"
"frozenset({'Q9H4L7', 'Alpha6Beta4Integrin', 'Q9Y265'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99700', 'Q14676'})"
"frozenset({'Q9Y5L4', 'P12236', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92734', 'P33764'})"
"frozenset({'P06400', 'Q8TAQ2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BT25', 'Q9HC77', 'Alpha6Beta4Integrin'})"
"frozenset({'O60225', 'Alpha6Beta4Integrin', 'Q9H0N5'})"
"frozenset({'Q8IYB3', 'Alpha6Beta4Integrin', 'Q96AE4'})"
"frozenset({'Q9Y6J8', 'P62273', 'Alpha6Beta4Integrin'})"
"frozenset({'O00458', 'Alpha6Beta4Integrin', 'P15172'})"
"frozenset({'Alpha6Beta4Integrin', 'O15488', 'P46976'})"
"frozenset({'Q8WXG6', 'Alpha6Beta4Integrin', 'O14980'})"
"frozenset({'Q14164', 'Alpha6Beta4Integrin', 'O15371'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y371', 'Q96GQ7'})"
"frozenset({'Q06190', 'Alpha6Beta4Integrin', 'Q6FHJ7'})"
"frozenset({'Q9BRK4', 'Q9Y250', 'Alpha6Beta4Integrin'})"
"frozenset({'P05388', 'Alpha6Beta4Integrin', 'P04083'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q8WTQ7'})"
"frozenset({'Alpha6Beta4Integrin', 'A8K8V0', 'Q96KQ7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14197', 'Q9NYY8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q08117', 'Q9H257'})"
"frozenset({'Q8IXH7', 'Alpha6Beta4Integrin', 'P10275'})"
"frozenset({'P13232', 'Alpha6Beta4Integrin', 'P48357'})"
"frozenset({'Alpha6Beta4Integrin', 'Q05639', 'Q15831'})"
"frozenset({'Q9P0T7', 'Alpha6Beta4Integrin', 'Q9NVA2'})"
"frozenset({'P18146', 'Alpha6Beta4Integrin', 'Q92629'})"
"frozenset({'Q9NQU5', 'Alpha6Beta4Integrin', 'P08238'})"
"frozenset({'Alpha6Beta4Integrin', 'O14641', 'Q6DKJ4'})"
"frozenset({'Q9C0B0', 'Alpha6Beta4Integrin', 'Q15056'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12834', 'P11309'})"
"frozenset({'Q9BQE3', 'Alpha6Beta4Integrin', 'P27708'})"
"frozenset({'Q13285', 'Alpha6Beta4Integrin', 'P07910'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01638', 'Q99836'})"
"frozenset({'Alpha6Beta4Integrin', 'P22694', 'Q92806'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HBM0', 'Q9P202'})"
"frozenset({'Q6AHZ1', 'Alpha6Beta4Integrin', 'Q6VMQ6'})"
"frozenset({'O95751', 'Alpha6Beta4Integrin', 'Q9H5V7'})"
"frozenset({'Q9UMS5', 'Alpha6Beta4Integrin', 'P17482'})"
"frozenset({'Alpha6Beta4Integrin', 'P23443', 'O94763'})"
"frozenset({'O75525', 'Alpha6Beta4Integrin', 'Q3SY00'})"
"frozenset({'Q7Z434', 'Q9UHD2', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92540', 'Q9H2R5'})"
"frozenset({'P32322', 'Alpha6Beta4Integrin', 'O95817'})"
"frozenset({'P83369', 'Q9H840', 'Alpha6Beta4Integrin'})"
"frozenset({'O75084', 'Alpha6Beta4Integrin', 'Q9UMX0'})"
"frozenset({'Q92609', 'Q13177', 'Alpha6Beta4Integrin'})"
"frozenset({'P14598', 'Alpha6Beta4Integrin', 'Q13153'})"
"frozenset({'Q9ULJ3', 'Alpha6Beta4Integrin', 'Q8WUI4'})"
"frozenset({'P57053', 'P49736', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15046', 'O43776', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HC73', 'Alpha6Beta4Integrin', 'Q9UHD0'})"
"frozenset({'Alpha6Beta4Integrin', 'P63000', 'P46934'})"
"frozenset({'Alpha6Beta4Integrin', 'P61587', 'Q96HP0'})"
"frozenset({'Q03181', 'Alpha6Beta4Integrin', 'O60678'})"
"frozenset({'Q96EM0', 'Alpha6Beta4Integrin', 'Q155Q3'})"
"frozenset({'P14416', 'Alpha6Beta4Integrin', 'Q15173'})"
"frozenset({'O96014', 'Alpha6Beta4Integrin', 'P41221'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HB71', 'Q96BK5'})"
"frozenset({'Q8NGZ4', 'Alpha6Beta4Integrin', 'P49407'})"
"frozenset({'P63220', 'Alpha6Beta4Integrin', 'P00519'})"
"frozenset({'Alpha6Beta4Integrin', 'P17021', 'Q9NRD5'})"
"frozenset({'Alpha6Beta4Integrin', 'P67870', 'Q6UXH1'})"
"frozenset({'Q13561', 'Alpha6Beta4Integrin', 'P25786'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92598', 'Q9NSD9'})"
"frozenset({'Q02539', 'Alpha6Beta4Integrin', 'Q9BZE4'})"
"frozenset({'Alpha6Beta4Integrin', 'P51003', 'Q9BR76'})"
"frozenset({'P82279', 'Q8NI35', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N157', 'P18146'})"
"frozenset({'Q6NUN9', 'Q8N1G4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NYF8', 'A7E2Y1'})"
"frozenset({'Q92831', 'Alpha6Beta4Integrin', 'Q9H211'})"
"frozenset({'P41240', 'Alpha6Beta4Integrin', 'Q99704'})"
"frozenset({'Alpha6Beta4Integrin', 'P43487', 'P62826'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NBU5', 'Q9NWV8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15393', 'Q9UQL6'})"
"frozenset({'Alpha6Beta4Integrin', 'P78396', 'Q13347'})"
"frozenset({'Q969G2', 'Alpha6Beta4Integrin', 'P01222'})"
"frozenset({'Alpha6Beta4Integrin', 'P27986', 'P41743'})"
"frozenset({'P32121', 'P61978', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96NB2', 'Alpha6Beta4Integrin', 'Q96CT2'})"
"frozenset({'Q9HB19', 'Q08379', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P16234', 'P20809'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6PJ61', 'Q6PJG9'})"
"frozenset({'Q5T2R2', 'Alpha6Beta4Integrin', 'Q9Y275'})"
"frozenset({'Q9NWH9', 'Alpha6Beta4Integrin', 'P78362'})"
"frozenset({'O60828', 'Alpha6Beta4Integrin', 'Q15691'})"
"frozenset({'P61604', 'Alpha6Beta4Integrin', 'P32456'})"
"frozenset({'O14964', 'P0C7T5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15717', 'Q1XH10'})"
"frozenset({'Q5S007', 'Alpha6Beta4Integrin', 'Q5JPE7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96T59', 'Q8WV74'})"
"frozenset({'Q8NFH3', 'Alpha6Beta4Integrin', 'Q16531'})"
"frozenset({'Q9H2G2', 'Alpha6Beta4Integrin', 'Q96GP6'})"
"frozenset({'Alpha6Beta4Integrin', 'P60953', 'P0DPB6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12933', 'Q13489'})"
"frozenset({'Alpha6Beta4Integrin', 'O15143', 'P22694'})"
"frozenset({'Q9BQE3', 'Alpha6Beta4Integrin', 'Q96HS1'})"
"frozenset({'Q16617', 'Alpha6Beta4Integrin', 'Q96BA8'})"
"frozenset({'O43242', 'Alpha6Beta4Integrin', 'Q99459'})"
"frozenset({'P68036', 'Alpha6Beta4Integrin', 'O14965'})"
"frozenset({'P01568', 'Alpha6Beta4Integrin', 'P00533'})"
"frozenset({'Alpha6Beta4Integrin', 'P01889', 'P61803'})"
"frozenset({'Q8N448', 'Alpha6Beta4Integrin', 'P17252'})"
"frozenset({'Q13557', 'Alpha6Beta4Integrin', 'Q5JZY3'})"
"frozenset({'Q9ULJ3', 'Alpha6Beta4Integrin', 'Q9UQC2'})"
"frozenset({'Alpha6Beta4Integrin', 'O43143', 'P22087'})"
"frozenset({'P32246', 'Q16627', 'Alpha6Beta4Integrin'})"
"frozenset({'Q63HR2', 'Q13835', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P0C869', 'P09471'})"
"frozenset({'Alpha6Beta4Integrin', 'Q08257', 'P07437'})"
"frozenset({'P27797', 'Alpha6Beta4Integrin', 'P43699'})"
"frozenset({'Q9UJW3', 'Alpha6Beta4Integrin', 'Q92731'})"
"frozenset({'Q5JU00', 'Q9H3G5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01844', 'Alpha6Beta4Integrin', 'Q15424'})"
"frozenset({'Alpha6Beta4Integrin', 'P62244', 'Q504Q3'})"
"frozenset({'Q9Y375', 'Alpha6Beta4Integrin', 'P07437'})"
"frozenset({'Q9P2H0', 'Alpha6Beta4Integrin', 'P30519'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NPY3', 'O95433'})"
"frozenset({'Q9HAU4', 'Alpha6Beta4Integrin', 'O75369'})"
"frozenset({'Q9P0N5', 'Q8IUW5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UKY1', 'Q13315'})"
"frozenset({'P11940', 'Alpha6Beta4Integrin', 'Q9UBX2'})"
"frozenset({'Q8N163', 'Alpha6Beta4Integrin', 'P38398'})"
"frozenset({'Alpha6Beta4Integrin', 'P62854', 'P26373'})"
"frozenset({'Q0WX57', 'Alpha6Beta4Integrin', 'P20290'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NX02', 'Q9UNN5'})"
"frozenset({'Q96EP0', 'P51843', 'Alpha6Beta4Integrin'})"
"frozenset({'P78337', 'Alpha6Beta4Integrin', 'Q7Z6R9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q07157', 'Q9NSI5'})"
"frozenset({'O75478', 'Alpha6Beta4Integrin', 'O15372'})"
"frozenset({'Q9UDX3', 'Alpha6Beta4Integrin', 'Q04864'})"
"frozenset({'Q9HCU9', 'Q5UIP0', 'Alpha6Beta4Integrin'})"
"frozenset({'P78347', 'Alpha6Beta4Integrin', 'P11831'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16600', 'O14965'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UKV5', 'O75674'})"
"frozenset({'Alpha6Beta4Integrin', 'P51991', 'P62258'})"
"frozenset({'P16104', 'Q9UIG0', 'Alpha6Beta4Integrin'})"
"frozenset({'P20336', 'Alpha6Beta4Integrin', 'O43493'})"
"frozenset({'O15379', 'Alpha6Beta4Integrin', 'Q9UER7'})"
"frozenset({'P32754', 'Alpha6Beta4Integrin', 'P38159'})"
"frozenset({'P56282', 'Q96FV0', 'Alpha6Beta4Integrin'})"
"frozenset({'P32246', 'Alpha6Beta4Integrin', 'Q8NHW4'})"
"frozenset({'Q9H081', 'Alpha6Beta4Integrin', 'Q9ULX9'})"
"frozenset({'Q9NUP1', 'Alpha6Beta4Integrin', 'O95295'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96HR3', 'O75448'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13616', 'Q96IG2'})"
"frozenset({'P27348', 'Alpha6Beta4Integrin', 'P16402'})"
"frozenset({'Q13418', 'Alpha6Beta4Integrin', 'Q06203'})"
"frozenset({'Q6R327', 'Alpha6Beta4Integrin', 'Q00610'})"
"frozenset({'Q9UJW3', 'Alpha6Beta4Integrin', 'Q13547'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00577', 'Q15527'})"
"frozenset({'Q58EX2', 'Alpha6Beta4Integrin', 'Q2NL98'})"
"frozenset({'Q969G3', 'Alpha6Beta4Integrin', 'Q13618'})"
"frozenset({'O95751', 'O14639', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13888', 'Alpha6Beta4Integrin', 'P61201'})"
"frozenset({'Q9BTV4', 'Q53R12', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TF65', 'Q9UKG1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O14579', 'Q9Y678'})"
"frozenset({'Q96HA8', 'Alpha6Beta4Integrin', 'Q13829'})"
"frozenset({'Alpha6Beta4Integrin', 'Q07889', 'P52735'})"
"frozenset({'Alpha6Beta4Integrin', 'P47914', 'O15479'})"
"frozenset({'Q86YB7', 'Alpha6Beta4Integrin', 'Q5T440'})"
"frozenset({'Alpha6Beta4Integrin', 'P11413', 'Q9H993'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IVT5', 'P10109'})"
"frozenset({'O14964', 'Alpha6Beta4Integrin', 'Q15436'})"
"frozenset({'Q9H0K1', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'Alpha6Beta4Integrin', 'O43318', 'Q8WWZ3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00610', 'P07550'})"
"frozenset({'Alpha6Beta4Integrin', 'O43663', 'P33981'})"
"frozenset({'P0DP24', 'Alpha6Beta4Integrin', 'P63000'})"
"frozenset({'Q13467', 'Alpha6Beta4Integrin', 'P49841'})"
"frozenset({'P80297', 'Alpha6Beta4Integrin', 'P10275'})"
"frozenset({'Q712K3', 'Alpha6Beta4Integrin', 'P54725'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7RTU3', 'O43790'})"
