negatives
"frozenset({'Alpha6Beta4Integrin', 'Q99871', 'Q8N0Z3'})"
"frozenset({'P21333', 'Alpha6Beta4Integrin', 'P48039'})"
"frozenset({'Q92769', 'Alpha6Beta4Integrin', 'Q99576'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NZ72', 'Q00535'})"
"frozenset({'Alpha6Beta4Integrin', 'P52945', 'P22694'})"
"frozenset({'Q02078', 'Alpha6Beta4Integrin', 'Q6ZT98'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IUH5', 'Q9UKA8'})"
"frozenset({'Q00987', 'Alpha6Beta4Integrin', 'Q9Y253'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16543', 'Q9BYT3'})"
"frozenset({'P40189', 'Alpha6Beta4Integrin', 'O15524'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N5R6', 'Q9Y5V3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TE02', 'Q96EB1'})"
"frozenset({'P63104', 'Q9GZS3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9GZQ8', 'Alpha6Beta4Integrin', 'P68104'})"
"frozenset({'Alpha6Beta4Integrin', 'P41182', 'Q99836'})"
"frozenset({'P61956', 'Alpha6Beta4Integrin', 'Q6ZNA4'})"
"frozenset({'Q9NVI1', 'Alpha6Beta4Integrin', 'Q8N960'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99816', 'Q00653'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16539', 'Q04206'})"
"frozenset({'Alpha6Beta4Integrin', 'P19320', 'P13639'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04917', 'P45983'})"
"frozenset({'P40337', 'Alpha6Beta4Integrin', 'Q93052'})"
"frozenset({'Q6MZM0', 'Alpha6Beta4Integrin', 'Q6K0P9'})"
"frozenset({'Alpha6Beta4Integrin', 'O00566', 'Q9BZE4'})"
"frozenset({'Q12905', 'Alpha6Beta4Integrin', 'Q99558'})"
"frozenset({'Q13247', 'Q8IWZ8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNF0', 'Q92625'})"
"frozenset({'Q96GX5', 'Alpha6Beta4Integrin', 'Q8WUH6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13618', 'Q96I99'})"
"frozenset({'P0CG20', 'Alpha6Beta4Integrin', 'Q96CA5'})"
"frozenset({'A2A2Y4', 'Alpha6Beta4Integrin', 'Q8N6R1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96GS4', 'Q9GZM8'})"
"frozenset({'Q9UGN5', 'Alpha6Beta4Integrin', 'Q9NTX7'})"
"frozenset({'Alpha6Beta4Integrin', 'P84101', 'O75553'})"
"frozenset({'Q92565', 'Alpha6Beta4Integrin', 'P62834'})"
"frozenset({'Alpha6Beta4Integrin', 'Q02878', 'P46778'})"
"frozenset({'Q9UQ88', 'Alpha6Beta4Integrin', 'Q6PD62'})"
"frozenset({'Alpha6Beta4Integrin', 'O94822', 'P39748'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92917', 'O43172'})"
"frozenset({'Alpha6Beta4Integrin', 'P63220', 'P02751'})"
"frozenset({'O95571', 'Alpha6Beta4Integrin', 'Q96ID5'})"
"frozenset({'Q9Y224', 'P49736', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y2Z0', 'P08238'})"
"frozenset({'Q9NX14', 'Alpha6Beta4Integrin', 'P21912'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UH03', 'Q8WYJ6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15835', 'P46094'})"
"frozenset({'Alpha6Beta4Integrin', 'P06732', 'O75027'})"
"frozenset({'O00329', 'Alpha6Beta4Integrin', 'Q9Y4H2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P289', 'P00540'})"
"frozenset({'Alpha6Beta4Integrin', 'P54274', 'P07195'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15436', 'O94979'})"
"frozenset({'P0DMV9', 'Alpha6Beta4Integrin', 'Q9Y2I6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99496', 'Q5SY16'})"
"frozenset({'P61086', 'Alpha6Beta4Integrin', 'Q96P09'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92747', 'Q9Y371'})"
"frozenset({'Q9Y2W1', 'Alpha6Beta4Integrin', 'P33993'})"
"frozenset({'Alpha6Beta4Integrin', 'P26599', 'Q08170'})"
"frozenset({'P11473', 'Alpha6Beta4Integrin', 'Q9UHV7'})"
"frozenset({'Alpha6Beta4Integrin', 'P32189', 'Q9NVF7'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'O75251'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16514', 'P63279'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UHD9', 'Q96IT6'})"
"frozenset({'Q13233', 'Alpha6Beta4Integrin', 'Q8N0X7'})"
"frozenset({'P35249', 'Alpha6Beta4Integrin', 'Q96QE3'})"
"frozenset({'P51970', 'Alpha6Beta4Integrin', 'Q9C002'})"
"frozenset({'Alpha6Beta4Integrin', 'P19174', 'P51816'})"
"frozenset({'Q9P2W3', 'Alpha6Beta4Integrin', 'Q8NGI4'})"
"frozenset({'Alpha6Beta4Integrin', 'P62253', 'Q9HCE7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99853', 'O60264'})"
"frozenset({'Alpha6Beta4Integrin', 'O75015', 'Q8N149'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12874', 'P01100'})"
"frozenset({'P19012', 'Alpha6Beta4Integrin', 'Q6P597'})"
"frozenset({'P78352', 'Alpha6Beta4Integrin', 'Q9HAP6'})"
"frozenset({'Alpha6Beta4Integrin', 'P04150', 'Q16620'})"
"frozenset({'A6NKT7', 'P49736', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P02768', 'P98164'})"
"frozenset({'P36578', 'Alpha6Beta4Integrin', 'P46777'})"
"frozenset({'P16144', 'Alpha6Beta4Integrin', 'P42574'})"
"frozenset({'Q13017', 'Alpha6Beta4Integrin', 'P15153'})"
"frozenset({'Q7Z6Z7', 'Alpha6Beta4Integrin', 'Q9H040'})"
"frozenset({'Alpha6Beta4Integrin', 'O95166', 'Q08380'})"
"frozenset({'Alpha6Beta4Integrin', 'O15488', 'P13807'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H009', 'Q9NPH2'})"
"frozenset({'Q9NUX5', 'Alpha6Beta4Integrin', 'Q8IVW6'})"
"frozenset({'O60841', 'Q9NZM5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13158', 'Alpha6Beta4Integrin', 'P15311'})"
"frozenset({'P01584', 'Alpha6Beta4Integrin', 'Q04864'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H213', 'Q8N6I1'})"
"frozenset({'Alpha6Beta4Integrin', 'O14920', 'Q13315'})"
"frozenset({'Alpha6Beta4Integrin', 'O00410', 'O14980'})"
"frozenset({'Q96CG3', 'Alpha6Beta4Integrin', 'O00560'})"
"frozenset({'Alpha6Beta4Integrin', 'O60237', 'O75116'})"
"frozenset({'Q8IYX8', 'Alpha6Beta4Integrin', 'Q01850'})"
"frozenset({'P62807', 'Alpha6Beta4Integrin', 'O15479'})"
"frozenset({'O75182', 'Alpha6Beta4Integrin', 'P29375'})"
"frozenset({'Alpha6Beta4Integrin', 'P55769', 'Q9BYG3'})"
"frozenset({'Q2NKQ1', 'Alpha6Beta4Integrin', 'O15182'})"
"frozenset({'O75528', 'Alpha6Beta4Integrin', 'O43318'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'P32418'})"
"frozenset({'P33316', 'Alpha6Beta4Integrin', 'P11413'})"
"frozenset({'Q96D09', 'Alpha6Beta4Integrin', 'Q8TAE8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16891', 'P19320'})"
"frozenset({'Q9UBS8', 'Alpha6Beta4Integrin', 'P62837'})"
"frozenset({'Alpha6Beta4Integrin', 'Q68BL7', 'P05067'})"
"frozenset({'Q13188', 'Alpha6Beta4Integrin', 'Q14BN4'})"
"frozenset({'Q9HC29', 'Alpha6Beta4Integrin', 'O75179'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBY8', 'Q9UN36'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99719', 'P35080'})"
"frozenset({'Alpha6Beta4Integrin', 'P01570', 'P10912'})"
"frozenset({'P08670', 'Alpha6Beta4Integrin', 'P62195'})"
"frozenset({'Q3MII6', 'Alpha6Beta4Integrin', 'P07602'})"
"frozenset({'P17661', 'Alpha6Beta4Integrin', 'O95758'})"
"frozenset({'Q01844', 'Alpha6Beta4Integrin', 'P05198'})"
"frozenset({'P12830', 'O95292', 'Alpha6Beta4Integrin'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'Q8NGT5'})"
"frozenset({'P27797', 'Alpha6Beta4Integrin', 'O95166'})"
"frozenset({'Q86TS9', 'Alpha6Beta4Integrin', 'Q9BYD1'})"
"frozenset({'Alpha6Beta4Integrin', 'O95833', 'P78386'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HCE1', 'P21796'})"
"frozenset({'Alpha6Beta4Integrin', 'Q09028', 'O43189'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5VW32', 'Q96CF2'})"
"frozenset({'Alpha6Beta4Integrin', 'P22626', 'Q8TF42'})"
