negatives
"frozenset({'Hedgehog', 'P62837', 'Q9H8W5'})"
"frozenset({'Hedgehog', 'Q9UNF1', 'Q5T3F8'})"
"frozenset({'Q13620', 'Hedgehog', 'Q8IXB1'})"
"frozenset({'Hedgehog', 'Q96ST8', 'Q9BRR8'})"
"frozenset({'P38484', 'Hedgehog', 'P01562'})"
"frozenset({'Q9H2M9', 'Hedgehog', 'Q8IXJ6'})"
"frozenset({'Q6PF18', 'Hedgehog', 'Q9BRK4'})"
"frozenset({'P54274', 'Hedgehog', 'P54259'})"
"frozenset({'P46108', 'P45985', 'Hedgehog'})"
"frozenset({'Q14498', 'Hedgehog', 'Q7KZF4'})"
"frozenset({'Q16891', 'Hedgehog', 'Q5T3J3'})"
"frozenset({'Q9H765', 'Hedgehog', 'Q9NWT6'})"
"frozenset({'Q6WCQ1', 'P15104', 'Hedgehog'})"
"frozenset({'Q86UP2', 'O95714', 'Hedgehog'})"
"frozenset({'Q92900', 'P15170', 'Hedgehog'})"
"frozenset({'Q8IYX4', 'Q9ULR5', 'Hedgehog'})"
"frozenset({'P13693', 'Hedgehog', 'P0DP23'})"
"frozenset({'Q14980', 'Hedgehog', 'Q99549'})"
"frozenset({'P15090', 'Hedgehog', 'P08670'})"
"frozenset({'P11940', 'Q9NUU7', 'Hedgehog'})"
"frozenset({'Q16626', 'Hedgehog', 'Q9C005'})"
"frozenset({'O14562', 'Hedgehog', 'P12277'})"
"frozenset({'Q8NB12', 'Q9H8W3', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q16659', 'P55036'})"
"frozenset({'O94973', 'Hedgehog', 'Q9NYZ3'})"
"frozenset({'Q8IZL2', 'Hedgehog', 'Q92585'})"
"frozenset({'P46934', 'Q9P0N9', 'Hedgehog'})"
"frozenset({'P61254', 'Hedgehog', 'P83731'})"
"frozenset({'O00459', 'P36542', 'Hedgehog'})"
"frozenset({'P46777', 'Q12906', 'Hedgehog'})"
"frozenset({'Q9BXR0', 'Hedgehog', 'Q9NRX3'})"
"frozenset({'Q9Y5P8', 'Q9Y698', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P05362', 'P20701'})"
"frozenset({'P31689', 'P60484', 'Hedgehog'})"
"frozenset({'P47755', 'Hedgehog', 'O94875'})"
"frozenset({'P22087', 'Q9NY93', 'Hedgehog'})"
"frozenset({'P17612', 'Q9GZU1', 'Hedgehog'})"
"frozenset({'Q9NRD5', 'Hedgehog', 'P49683'})"
"frozenset({'Hedgehog', 'Q96B02', 'Q9Y675'})"
"frozenset({'Q9Y266', 'Hedgehog', 'P56537'})"
"frozenset({'Q9P0N8', 'P49427', 'Hedgehog'})"
"frozenset({'P48436', 'Q13464', 'Hedgehog'})"
"frozenset({'P22612', 'Hedgehog', 'P52566'})"
"frozenset({'P52732', 'Q6UX07', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q15154', 'P53350'})"
"frozenset({'O76031', 'Hedgehog', 'Q99496'})"
"frozenset({'Q8TBB1', 'Hedgehog', 'Q8NCY6'})"
"frozenset({'Q504Q3', 'P62314', 'Hedgehog'})"
"frozenset({'P05067', 'Q8WY91', 'Hedgehog'})"
"frozenset({'Q03701', 'P04629', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q6NZI2', 'Q86Y13'})"
"frozenset({'Q14684', 'Q16821', 'Hedgehog'})"
"frozenset({'Hedgehog', 'O43432', 'P52735'})"
"frozenset({'Q15717', 'Hedgehog', 'Q14865'})"
"frozenset({'Q13618', 'Hedgehog', 'P16220'})"
"frozenset({'Q15714', 'Q9P031', 'Hedgehog'})"
"frozenset({'Q9NSG2', 'P51648', 'Hedgehog'})"
"frozenset({'Q15942', 'O95433', 'Hedgehog'})"
"frozenset({'O14561', 'Hedgehog', 'O95169'})"
"frozenset({'P30613', 'Q02241', 'Hedgehog'})"
"frozenset({'Q96S59', 'Hedgehog', 'P62136'})"
"frozenset({'Q15256', 'P09619', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q00526', 'P20248'})"
"frozenset({'O14920', 'Q12778', 'Hedgehog'})"
"frozenset({'P04637', 'Hedgehog', 'O75150'})"
"frozenset({'Q9Y2H0', 'Hedgehog', 'P06241'})"
"frozenset({'Hedgehog', 'P36894', 'O60911'})"
"frozenset({'Hedgehog', 'Q9Y237', 'P48643'})"
"frozenset({'Q9NRZ9', 'Hedgehog', 'Q9UIF3'})"
"frozenset({'Q99755', 'P62330', 'Hedgehog'})"
"frozenset({'P04629', 'Hedgehog', 'P26641'})"
"frozenset({'Q6MZP7', 'Hedgehog', 'O75376'})"
"frozenset({'Hedgehog', 'Q2M1P5', 'Q86SQ0'})"
"frozenset({'P01574', 'Hedgehog', 'Q9HBE5'})"
"frozenset({'P06493', 'O14773', 'Hedgehog'})"
"frozenset({'Hedgehog', 'O00238', 'Q7Z4P5'})"
"frozenset({'Hedgehog', 'A4D161', 'Q6IQ23'})"
"frozenset({'Q86U86', 'P0DPB3', 'Hedgehog'})"
"frozenset({'P78362', 'Hedgehog', 'P26373'})"
"frozenset({'P42771', 'Hedgehog', 'Q13617'})"
"frozenset({'Q13200', 'Hedgehog', 'P25398'})"
"frozenset({'Q9NZL4', 'P13716', 'Hedgehog'})"
"frozenset({'P42345', 'P51397', 'Hedgehog'})"
"frozenset({'Q2KHM9', 'Hedgehog', 'Q99550'})"
"frozenset({'P00540', 'Hedgehog', 'Q8WWB3'})"
"frozenset({'Q8TF40', 'P07900', 'Hedgehog'})"
"frozenset({'Q9BY41', 'Hedgehog', 'Q9P0M6'})"
"frozenset({'Q9ULG1', 'Hedgehog', 'Q8NBZ0'})"
"frozenset({'P62917', 'Hedgehog', 'Q9UQ80'})"
"frozenset({'P62241', 'Hedgehog', 'Q9UHD2'})"
"frozenset({'Q14152', 'O15297', 'Hedgehog'})"
"frozenset({'P00338', 'Hedgehog', 'P14174'})"
"frozenset({'Hedgehog', 'Q9UJJ9', 'Q96SB4'})"
"frozenset({'P28288', 'Hedgehog', 'Q8N806'})"
"frozenset({'P52948', 'Hedgehog', 'Q7Z3B4'})"
"frozenset({'Q96FV0', 'Hedgehog', 'P0C1Z6'})"
"frozenset({'Q9ULL5', 'P49327', 'Hedgehog'})"
