#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P31749	Q12778	1	BCR	12	Phosphorylation	AKT1	FOXO1
P31749	P49840	1	BCR	12	Phosphorylation	AKT1	GSK3A
P31749	P49841	1	BCR	12	Phosphorylation	AKT1	GSK3B
P31749	P56279	1	BCR	12	physical	AKT1	TCL1A
P31749	P43403	1	BCR	12	physical	AKT1	ZAP70
P23634	P20273	1	BCR	12	physical	ATP2B4	CD22
Q8NDB2	Q14571	1	BCR	12	physical	BANK1	ITPR2
P56945	P46108	1	BCR	12	physical	BCAR1	CRK
P56945	P46109	1	BCR	12	physical	BCAR1	CRKL
P56945	P06241	1	BCR	12	physical	BCAR1	FYN
P56945	P08631	1	BCR	12	physical	BCAR1	HCK
P56945	P07948	1	BCR	12	physical	BCAR1	LYN
P56945	Q14289	1	BCR	12	physical	BCAR1	PTK2B
O95999	Q9BXL7	1	BCR	12	physical	BCL10	CARD11
O95999	Q9UDY8	1	BCR	12	physical	BCL10	MALT1
O95999	O43318	1	BCR	12	physical	BCL10	MAP3K7
P10415	O43521	1	BCR	12	physical	BCL2	BCL2L11
O43521	P10415	1	BCR	12	physical	BCL2L11	BCL2
P51451	P22681	1	BCR	12	physical	BLK	CBL
P51451	P11912	1	BCR	12	physical	BLK	CD79A
P51451	P40259	1	BCR	12	physical	BLK	CD79B
Q8WV28	Q06187	1	BCR	12	physical	BLNK	BTK
Q8WV28	P11912	1	BCR	12	physical	BLNK	CD79A
Q8WV28	Q96MX0	1	BCR	12	physical	BLNK	CMTM3
Q8WV28	P62993	1	BCR	12	physical	BLNK	GRB2
Q8WV28	Q92918	1	BCR	12	physical	BLNK	MAP4K1
Q8WV28	P16333	1	BCR	12	physical	BLNK	NCK1
Q8WV28	P19174	1	BCR	12	physical	BLNK	PLCG1
Q8WV28	P16885	1	BCR	12	physical	BLNK	PLCG2
Q8WV28	P29350	1	BCR	12	physical	BLNK	PTPN6
Q8WV28	Q07889	1	BCR	12	physical	BLNK	SOS1
Q8WV28	P15498	1	BCR	12	physical	BLNK	VAV1
Q06187	Q8WV28	1	BCR	12	physical	BTK	BLNK
Q06187	P22681	1	BCR	12	physical	BTK	CBL
Q06187	P15391	1	BCR	12	physical	BTK	CD19
Q06187	Q96MX0	1	BCR	12	physical	BTK	CMTM3
Q06187	P78347	1	BCR	12	Phosphorylation	BTK	GTF2I
Q06187	P78347	1	BCR	12	physical	BTK	GTF2I
Q06187	Q6ZUJ8	1	BCR	12	Phosphorylation	BTK	PIK3AP1
Q06187	P48426	1	BCR	12	physical	BTK	PIP4K2A
Q06187	P78356	1	BCR	12	physical	BTK	PIP4K2B
Q06187	Q8TBX8	1	BCR	12	physical	BTK	PIP4K2C
Q06187	Q99755	1	BCR	12	physical	BTK	PIP5K1A
Q06187	O14986	1	BCR	12	physical	BTK	PIP5K1B
Q06187	O60331	1	BCR	12	physical	BTK	PIP5K1C
Q06187	P19174	1	BCR	12	Phosphorylation	BTK	PLCG1
Q06187	P16885	1	BCR	12	Phosphorylation	BTK	PLCG2
Q7Z6A9	P15391	1	BCR	12	physical	BTLA	CD19
Q7Z6A9	P11912	1	BCR	12	physical	BTLA	CD79A
Q7Z6A9	P40259	1	BCR	12	physical	BTLA	CD79B
Q7Z6A9	P01871	1	BCR	12	physical	BTLA	IGHM
Q9BXL7	O95999	1	BCR	12	physical	CARD11	BCL10
Q9BXL7	Q9Y6K9	1	BCR	12	physical	CARD11	IKBKG
Q9BXL7	Q9UDY8	1	BCR	12	physical	CARD11	MALT1
Q9BXL7	O43318	1	BCR	12	physical	CARD11	MAP3K7
Q9BXL7	P05771	1	BCR	12	physical	CARD11	PRKCB
P55210	P07948	1	BCR	12	protein_cleavage	CASP7	LYN
P55211	P07948	1	BCR	12	protein_cleavage	CASP9	LYN
P22681	P51451	1	BCR	12	physical	CBL	BLK
P22681	Q06187	1	BCR	12	physical	CBL	BTK
P22681	P46108	1	BCR	12	physical	CBL	CRK
P22681	P46109	1	BCR	12	physical	CBL	CRKL
P22681	P06241	1	BCR	12	physical	CBL	FYN
